"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","18.39","18.54","18.59","18.37","194.18M","-0.92%"
"2013年11月19日","18.56","18.54","18.69","18.50","208.94M","0.22%"
"2013年11月18日","18.52","18.75","18.83","18.51","244.95M","-1.23%"
"2013年11月15日","18.75","18.81","18.90","18.73","317.92M","-0.58%"
"2013年11月14日","18.86","18.67","18.90","18.64","282.42M","1.45%"
"2013年11月13日","18.59","18.50","18.65","18.46","197.22M","0.11%"
"2013年11月12日","18.57","18.49","18.71","18.46","204.46M","0.16%"
"2013年11月11日","18.54","18.57","18.63","18.37","227.45M","-0.27%"
"2013年11月8日","18.59","18.38","18.61","18.31","279.32M","1.58%"
"2013年11月7日","18.30","18.56","18.69","18.30","262.62M","-1.61%"
"2013年11月6日","18.60","18.72","18.74","18.51","223.38M","-0.91%"
"2013年11月5日","18.77","18.73","18.89","18.68","265.47M","-0.21%"
"2013年11月4日","18.81","18.61","18.81","18.53","244.63M","1.29%"
"2013年11月1日","18.57","18.71","18.74","18.42","274.89M","-0.54%"
"2013年10月31日","18.67","18.75","18.84","18.62","275.70M","-0.43%"
"2013年10月30日","18.75","18.56","18.84","18.46","354.16M","1.63%"
"2013年10月29日","18.45","19.15","19.26","18.38","635.81M","-2.48%"
"2013年10月28日","18.92","18.89","18.96","18.69","550.44M","0.75%"
"2013年10月25日","18.78","18.98","19.04","18.75","337.79M","-1.16%"
"2013年10月24日","19.00","18.75","19.02","18.66","384.76M","1.33%"
"2013年10月23日","18.75","18.54","18.77","18.54","313.72M","0.97%"
"2013年10月22日","18.57","18.80","18.87","18.14","534.06M","-0.27%"
"2013年10月21日","18.62","18.28","18.72","18.27","398.11M","2.48%"
"2013年10月18日","18.17","18.07","18.19","18.06","290.54M","0.83%"
"2013年10月17日","18.02","17.86","18.03","17.85","253.59M","0.67%"
"2013年10月16日","17.90","17.89","17.95","17.83","251.10M","0.51%"
"2013年10月15日","17.81","17.77","17.93","17.70","320.07M","0.51%"
"2013年10月14日","17.72","17.49","17.77","17.48","261.90M","0.68%"
"2013年10月11日","17.60","17.39","17.64","17.33","267.74M","0.63%"
"2013年10月10日","17.49","17.55","17.58","17.39","278.60M","0.63%"
"2013年10月9日","17.38","17.31","17.42","17.08","301.73M","1.16%"
"2013年10月8日","17.18","17.50","17.52","17.16","290.92M","-1.38%"
