"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","362.57","367.56","367.56","360.45","1.77M","-0.65%"
"2013年11月19日","364.94","365.82","368.78","362.50","1.90M","-0.34%"
"2013年11月18日","366.18","370.28","373.49","364.67","2.74M","-0.81%"
"2013年11月15日","369.17","367.63","372.90","365.55","4.49M","0.48%"
"2013年11月14日","367.40","357.39","368.94","356.43","4.16M","3.14%"
"2013年11月13日","356.22","347.40","356.22","345.68","2.78M","1.91%"
"2013年11月12日","349.53","352.99","355.48","347.28","2.34M","-1.37%"
"2013年11月11日","354.38","350.59","355.37","348.06","2.26M","1.16%"
"2013年11月8日","350.31","345.95","351.05","344.04","2.66M","1.96%"
"2013年11月7日","343.56","355.86","357.90","341.88","4.25M","-3.54%"
"2013年11月6日","356.18","360.45","362.87","354.50","2.29M","-0.76%"
"2013年11月5日","358.89","356.78","360.17","354.84","2.01M","0.04%"
"2013年11月4日","358.74","360.12","361.00","354.40","1.94M","-0.07%"
"2013年11月1日","359.00","365.63","365.77","356.10","3.33M","-1.38%"
"2013年10月31日","364.03","361.73","366.00","359.00","2.47M","0.82%"
"2013年10月30日","361.08","362.62","365.00","358.65","4.51M","-0.45%"
"2013年10月29日","362.70","358.96","362.89","356.29","2.19M","1.27%"
"2013年10月28日","358.16","359.92","362.75","357.20","3.64M","-1.44%"
"2013年10月25日","363.39","358.60","368.40","352.62","12.04M","9.39%"
"2013年10月24日","332.21","329.63","332.65","326.75","5.88M","1.67%"
"2013年10月23日","326.76","330.84","331.72","324.06","2.82M","-1.74%"
"2013年10月22日","332.54","327.72","337.11","325.68","3.94M","1.87%"
"2013年10月21日","326.44","329.89","330.00","323.80","2.53M","-0.76%"
"2013年10月18日","328.93","319.36","331.89","316.75","5.97M","5.84%"
"2013年10月17日","310.77","307.07","311.00","305.24","2.65M","0.09%"
"2013年10月16日","310.49","308.38","310.80","305.55","2.18M","1.33%"
"2013年10月15日","306.40","309.87","310.79","305.26","2.26M","-1.38%"
"2013年10月14日","310.70","309.22","311.64","307.00","1.94M","-0.06%"
"2013年10月11日","310.89","304.77","310.93","303.84","2.16M","1.87%"
"2013年10月10日","305.17","304.63","306.70","302.59","2.56M","2.33%"
"2013年10月9日","298.23","303.42","303.50","296.50","3.25M","-1.65%"
"2013年10月8日","303.23","311.50","311.55","300.27","3.17M","-2.19%"
"2013年10月7日","310.03","315.24","315.34","309.74","2.09M","-2.82%"
"2013年10月4日","319.04","315.13","319.20","312.62","1.81M","1.36%"
"2013年10月3日","314.76","320.39","322.92","313.02","2.68M","-1.79%"
"2013年10月2日","320.51","318.04","321.73","317.52","2.22M","-0.14%"
"2013年10月1日","320.95","314.22","321.00","313.65","2.40M","2.66%"
"2013年9月30日","312.64","313.41","315.31","311.06","1.63M","-1.07%"
"2013年9月27日","316.01","316.92","317.21","313.35","1.66M","-0.66%"
"2013年9月26日","318.12","313.90","319.37","313.26","1.99M","1.75%"
"2013年9月25日","312.65","314.53","316.71","310.75","2.01M","-0.47%"
"2013年9月24日","314.13","312.43","318.08","311.28","2.03M","0.85%"
"2013年9月23日","311.49","314.01","315.90","308.77","1.89M","-1.53%"
"2013年9月20日","316.34","312.54","320.57","312.41","5.31M","1.37%"
"2013年9月19日","312.06","313.77","314.54","311.04","2.35M","0.01%"
"2013年9月18日","312.03","304.06","312.74","302.91","2.95M","2.58%"
"2013年9月17日","304.17","297.63","304.65","296.01","2.30M","2.74%"
"2013年9月16日","296.06","299.82","301.00","295.26","1.82M","-0.62%"
"2013年9月13日","297.92","300.14","300.22","296.20","1.35M","-0.31%"
"2013年9月12日","298.86","299.39","302.00","297.66","1.61M","-0.26%"
"2013年9月11日","299.64","298.91","301.86","297.84","1.75M","-0.24%"
"2013年9月10日","300.36","300.55","301.00","297.22","1.78M","0.22%"
"2013年9月9日","299.71","297.22","299.96","296.60","1.65M","1.30%"
"2013年9月6日","295.86","295.33","298.88","290.80","2.29M","0.60%"
"2013年9月5日","294.10","293.63","297.00","292.71","1.82M","0.16%"
"2013年9月4日","293.64","288.33","295.23","287.58","2.44M","1.68%"
"2013年9月3日","288.80","284.73","291.39","284.17","2.90M","2.78%"
"2013年8月30日","280.98","284.59","284.87","280.00","1.53M","-1.06%"
"2013年8月29日","283.98","281.45","285.98","280.00","1.57M","0.85%"
"2013年8月28日","281.58","280.36","283.00","279.33","1.46M","0.23%"
"2013年8月27日","280.93","283.87","285.28","279.74","2.48M","-1.84%"
"2013年8月26日","286.21","290.43","291.05","285.62","1.72M","-1.31%"
"2013年8月23日","290.01","291.21","291.50","287.90","1.97M","0.10%"
"2013年8月22日","289.73","284.80","289.87","284.80","1.42M","1.81%"
"2013年8月21日","284.57","285.09","288.50","283.83","1.82M","-0.88%"
"2013年8月20日","287.09","285.88","289.51","285.74","1.59M","0.53%"
"2013年8月19日","285.57","285.19","289.56","283.48","2.48M","0.26%"
"2013年8月16日","284.82","286.55","288.33","284.50","2.42M","-0.58%"
"2013年8月15日","286.47","288.79","289.30","285.15","2.26M","-1.67%"
"2013年8月14日","291.34","294.29","294.29","290.54","1.42M","-0.89%"
"2013年8月13日","293.97","295.88","296.37","290.67","2.36M","-0.92%"
"2013年8月12日","296.69","295.79","299.08","295.26","1.50M","-0.19%"
"2013年8月9日","297.26","295.68","299.27","294.30","1.95M","0.51%"
"2013年8月8日","295.74","298.52","298.52","292.55","2.35M","-0.39%"
"2013年8月7日","296.91","300.15","300.99","296.15","1.96M","-1.28%"
"2013年8月6日","300.75","300.51","301.36","297.52","1.85M","-0.08%"
"2013年8月5日","300.99","303.40","303.62","298.30","2.23M","-1.06%"
"2013年8月2日","304.21","304.63","305.33","301.50","2.51M","-0.45%"
"2013年8月1日","305.57","303.08","306.21","298.90","2.97M","1.44%"
"2013年7月31日","301.22","303.91","305.15","301.00","1.89M","-0.39%"
"2013年7月30日","302.41","307.72","309.78","301.57","3.05M","-1.21%"
"2013年7月29日","306.10","311.07","313.00","305.90","3.21M","-1.89%"
"2013年7月26日","312.01","299.55","313.62","295.55","8.82M","2.84%"
"2013年7月25日","303.40","299.00","304.50","296.75","5.48M","1.49%"
"2013年7月24日","298.94","303.02","303.84","298.04","2.00M","-0.70%"
"2013年7月23日","301.06","303.16","305.06","300.56","2.00M","-0.80%"
"2013年7月22日","303.48","309.25","309.25","302.00","2.52M","-0.57%"
"2013年7月19日","305.23","304.39","305.79","301.91","2.97M","0.37%"
"2013年7月18日","304.11","306.27","306.34","301.87","3.06M","-1.48%"
"2013年7月17日","308.69","306.97","308.80","305.69","2.03M","0.59%"
"2013年7月16日","306.87","307.30","309.39","305.51","2.66M","0.10%"
"2013年7月15日","306.57","307.27","307.99","304.35","2.25M","-0.32%"
"2013年7月12日","307.55","298.69","307.55","298.50","4.54M","2.63%"
"2013年7月11日","299.66","294.99","300.69","292.10","4.01M","2.51%"
"2013年7月10日","292.33","291.41","293.34","289.40","1.81M","0.27%"
"2013年7月9日","291.53","291.00","292.57","288.01","2.78M","0.32%"
"2013年7月8日","290.59","286.42","291.67","286.14","3.05M","1.65%"
"2013年7月5日","285.88","285.00","286.38","282.07","1.99M","0.65%"
"2013年7月3日","284.03","282.00","285.40","282.00","1.38M","0.11%"
"2013年7月2日","283.73","281.04","286.58","280.59","3.24M","0.58%"
"2013年7月1日","282.10","279.00","283.29","277.16","2.89M","1.59%"
"2013年6月28日","277.69","276.19","279.83","276.19","3.19M","0.05%"
"2013年6月27日","277.55","279.18","280.20","274.54","2.52M","-0.01%"
"2013年6月26日","277.57","273.98","277.98","273.50","3.03M","2.01%"
"2013年6月25日","272.09","272.30","273.47","269.00","2.45M","0.55%"
"2013年6月24日","270.61","271.29","273.16","265.00","3.87M","-1.01%"
"2013年6月21日","273.36","274.57","275.84","269.79","4.20M","-0.03%"
"2013年6月20日","273.44","275.14","278.60","272.39","2.99M","-1.70%"
"2013年6月19日","278.16","281.26","283.34","277.87","2.83M","-1.28%"
"2013年6月18日","281.76","279.08","282.91","278.11","2.15M","1.33%"
"2013年6月17日","278.06","276.35","280.20","275.65","2.89M","1.49%"
"2013年6月14日","273.99","275.00","277.07","273.44","2.15M","-0.65%"
"2013年6月13日","275.79","271.50","276.80","270.29","2.65M","1.52%"
"2013年6月12日","271.67","276.60","276.80","270.45","2.24M","-1.13%"
"2013年6月11日","274.78","276.00","278.41","274.24","3.10M","-2.24%"
"2013年6月10日","281.07","276.68","282.47","275.24","3.09M","1.52%"
"2013年6月7日","276.87","269.74","280.10","269.13","4.63M","3.38%"
"2013年6月6日","267.83","267.75","270.50","264.21","2.48M","0.25%"
"2013年6月5日","267.17","265.81","271.66","265.02","3.51M","0.55%"
"2013年6月4日","265.70","267.00","268.88","263.02","2.09M","-0.44%"
"2013年6月3日","266.88","268.96","269.11","262.95","2.55M","-0.86%"
"2013年5月31日","269.20","266.00","271.91","265.94","3.37M","0.89%"
"2013年5月30日","266.83","265.71","268.57","265.62","1.67M","0.49%"
"2013年5月29日","265.53","265.46","268.25","264.84","1.90M","-0.66%"
"2013年5月28日","267.29","266.48","271.10","266.00","3.47M","2.12%"
"2013年5月24日","261.74","259.85","261.93","258.34","1.70M","-0.02%"
"2013年5月23日","261.80","260.49","263.17","259.59","2.01M","-0.44%"
"2013年5月22日","262.96","267.39","267.59","260.80","3.33M","-2.19%"
"2013年5月21日","268.86","268.74","270.77","267.66","1.74M","0.46%"
"2013年5月20日","267.63","269.00","271.79","266.50","2.21M","-0.84%"
"2013年5月17日","269.90","265.83","269.98","265.00","2.53M","2.19%"
"2013年5月16日","264.12","265.96","268.43","263.85","1.64M","-0.92%"
"2013年5月15日","266.56","267.07","269.05","264.56","2.72M","-0.66%"
"2013年5月14日","268.33","264.50","269.40","264.03","2.70M","1.44%"
"2013年5月13日","264.51","262.77","265.88","262.00","2.15M","0.33%"
"2013年5月10日","263.63","260.88","263.65","260.21","3.15M","1.33%"
"2013年5月9日","260.16","258.73","263.55","256.88","2.77M","0.57%"
"2013年5月8日","258.68","256.87","260.30","255.33","2.68M","0.37%"
"2013年5月7日","257.73","256.31","259.74","252.91","3.13M","0.79%"
"2013年5月6日","255.72","258.09","259.50","253.42","2.35M","-0.90%"
"2013年5月3日","258.05","256.14","259.25","254.70","3.51M","2.18%"
"2013年5月2日","252.55","248.94","252.93","245.78","3.94M","1.74%"
"2013年5月1日","248.23","253.90","254.20","245.75","4.39M","-2.20%"
"2013年4月30日","253.81","249.37","254.68","248.56","4.25M","1.63%"
"2013年4月29日","249.74","254.90","257.01","249.15","7.12M","-1.99%"
"2013年4月26日","254.81","269.97","272.02","252.81","14.04M","-7.24%"
"2013年4月25日","274.70","271.53","275.80","270.50","6.12M","2.20%"
"2013年4月24日","268.78","269.50","271.47","266.81","1.86M","-0.04%"
"2013年4月23日","268.90","264.50","269.87","264.50","2.27M","2.03%"
"2013年4月22日","263.55","259.35","264.60","258.03","2.12M","1.24%"
"2013年4月19日","260.32","258.16","262.88","257.50","2.60M","0.35%"
"2013年4月18日","259.42","266.81","266.99","256.60","3.14M","-2.98%"
"2013年4月17日","267.40","270.80","270.85","264.25","3.14M","-1.81%"
"2013年4月16日","272.34","269.31","272.80","268.06","2.14M","1.73%"
"2013年4月15日","267.72","271.08","275.12","267.10","3.33M","-1.89%"
"2013年4月12日","272.87","270.12","273.27","267.02","2.87M","1.12%"
"2013年4月11日","269.85","264.74","270.97","264.74","3.09M","1.92%"
"2013年4月10日","264.77","261.78","265.98","259.32","2.32M","1.39%"
"2013年4月9日","261.14","258.85","262.61","257.00","2.16M","0.85%"
"2013年4月8日","258.95","255.92","259.68","255.63","2.30M","1.36%"
"2013年4月5日","255.48","255.72","256.18","253.67","2.56M","-1.39%"
"2013年4月4日","259.08","259.23","260.41","256.12","1.96M","0.02%"
"2013年4月3日","259.03","262.12","263.67","257.75","2.41M","-1.63%"
"2013年4月2日","263.32","262.40","265.89","260.55","2.63M","0.65%"
"2013年4月1日","261.61","266.98","267.40","261.01","2.53M","-1.83%"
"2013年3月28日","266.49","265.82","267.38","264.06","2.47M","0.45%"
"2013年3月27日","265.30","258.75","265.93","257.90","2.87M","1.92%"
"2013年3月26日","260.31","257.05","261.48","256.28","2.42M","1.68%"
"2013年3月25日","256.02","258.58","259.43","254.50","2.52M","-0.67%"
"2013年3月22日","257.75","254.55","257.77","252.07","3.13M","1.72%"
"2013年3月21日","253.39","256.11","257.00","252.68","2.81M","-1.51%"
"2013年3月20日","257.28","258.05","259.76","254.55","2.74M","0.34%"
"2013年3月19日","256.41","258.40","259.50","252.62","3.74M","-0.57%"
"2013年3月18日","257.89","259.30","261.49","257.12","2.72M","-1.50%"
"2013年3月15日","261.82","264.98","267.26","260.05","4.87M","-1.48%"
"2013年3月14日","265.74","269.67","270.00","263.53","5.23M","-3.40%"
"2013年3月13日","275.10","275.24","276.50","272.64","1.88M","0.35%"
"2013年3月12日","274.13","271.00","277.40","270.36","3.25M","1.07%"
"2013年3月11日","271.24","273.43","273.99","270.40","1.91M","-1.08%"
"2013年3月8日","274.19","275.00","275.44","271.50","1.88M","0.11%"
"2013年3月7日","273.88","274.10","274.80","271.85","1.94M","0.03%"
"2013年3月6日","273.79","275.76","276.49","271.83","2.05M","-0.65%"
"2013年3月5日","275.59","274.00","276.68","269.99","3.69M","0.91%"
"2013年3月4日","273.11","265.36","273.30","264.14","3.46M","2.77%"
