"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","132.45","135.80","135.89","132.29","8.64M","-3.31%"
"2013年11月19日","136.98","138.50","138.79","136.70","3.95M","-1.00%"
"2013年11月18日","138.36","140.25","142.00","137.77","8.16M","1.68%"
"2013年11月15日","136.08","135.36","136.56","134.54","4.50M","0.73%"
"2013年11月14日","135.09","133.70","135.38","133.17","3.28M","1.44%"
"2013年11月13日","133.17","131.92","133.49","131.10","3.58M","0.63%"
"2013年11月12日","132.33","132.40","133.08","131.97","2.85M","-0.15%"
"2013年11月11日","132.53","133.14","133.33","132.12","2.96M","-0.72%"
"2013年11月8日","133.49","131.28","133.90","130.95","4.79M","1.51%"
"2013年11月7日","131.51","133.44","133.93","131.35","3.83M","-1.19%"
"2013年11月6日","133.09","134.02","134.58","132.68","3.75M","-0.36%"
"2013年11月5日","133.57","132.03","133.74","130.59","4.08M","0.59%"
"2013年11月4日","132.79","133.75","133.99","132.46","3.92M","-0.18%"
"2013年11月1日","133.03","130.90","133.50","130.90","4.58M","1.94%"
"2013年10月31日","130.50","129.84","131.88","129.55","4.93M","0.63%"
"2013年10月30日","129.68","129.56","131.43","129.02","4.12M","0.02%"
"2013年10月29日","129.66","129.35","129.88","128.76","3.61M","-0.17%"
"2013年10月28日","129.88","128.75","130.47","128.64","4.66M","-1.00%"
"2013年10月25日","131.19","129.25","131.43","128.22","5.47M","1.71%"
"2013年10月24日","128.98","129.01","129.57","127.94","4.98M","-0.03%"
"2013年10月23日","129.02","126.00","129.99","125.90","10.77M","5.34%"
"2013年10月22日","122.48","122.00","123.80","121.88","4.44M","0.83%"
"2013年10月21日","121.47","122.69","122.74","121.06","3.21M","-0.86%"
"2013年10月18日","122.52","122.50","122.86","121.25","3.93M","0.19%"
"2013年10月17日","122.29","119.81","122.39","119.81","4.11M","1.62%"
"2013年10月16日","120.34","118.78","120.66","118.75","4.04M","1.83%"
"2013年10月15日","118.18","119.42","119.59","118.14","2.75M","-1.07%"
"2013年10月14日","119.46","117.42","119.55","116.69","3.62M","1.25%"
"2013年10月11日","117.98","118.60","119.40","117.83","4.51M","-0.77%"
"2013年10月10日","118.90","116.10","119.00","115.91","5.64M","3.87%"
"2013年10月9日","114.47","115.40","115.40","113.34","4.72M","-0.84%"
"2013年10月8日","115.44","116.67","117.32","115.42","4.58M","-1.07%"
"2013年10月7日","116.69","115.51","117.17","115.40","3.82M","-0.44%"
"2013年10月4日","117.20","115.27","117.26","115.25","4.00M","1.70%"
"2013年10月3日","115.24","117.35","117.49","114.73","4.46M","-2.21%"
