"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","122.00","122.16","122.75","121.60","4.57M","-0.05%"
"2013年11月19日","122.06","120.55","122.38","120.27","5.89M","1.24%"
"2013年11月18日","120.56","120.70","120.89","120.07","4.79M","0.42%"
"2013年11月15日","120.06","119.78","120.27","119.13","6.01M","0.42%"
"2013年11月14日","119.56","119.58","119.93","119.32","5.47M","-0.44%"
"2013年11月13日","120.09","119.58","120.15","119.19","6.21M","0.07%"
"2013年11月12日","120.00","121.03","121.25","119.62","6.92M","-0.89%"
"2013年11月11日","121.08","121.18","121.50","120.71","3.43M","-0.09%"
"2013年11月8日","121.19","119.67","121.21","119.58","11.33M","1.07%"
"2013年11月7日","119.91","121.60","121.88","119.42","10.14M","-1.02%"
"2013年11月6日","121.14","119.30","121.41","118.81","8.37M","2.27%"
"2013年11月5日","118.45","117.60","118.89","117.07","6.63M","0.30%"
"2013年11月4日","118.10","118.59","118.60","117.32","6.67M","0.08%"
"2013年11月1日","118.01","119.04","119.44","117.00","9.34M","-1.63%"
"2013年10月31日","119.96","120.15","121.33","119.83","7.75M","-0.28%"
"2013年10月30日","120.30","121.54","121.96","119.91","5.00M","-0.99%"
"2013年10月29日","121.50","121.33","122.01","121.16","4.24M","0.49%"
"2013年10月28日","120.91","120.56","121.15","120.09","5.50M","0.27%"
"2013年10月25日","120.59","120.59","121.22","120.27","4.27M","0.02%"
"2013年10月24日","120.56","120.67","121.00","119.91","4.19M","0.36%"
"2013年10月23日","120.13","120.29","120.64","119.83","4.96M","-0.42%"
"2013年10月22日","120.64","120.14","120.79","119.71","6.45M","0.68%"
"2013年10月21日","119.82","119.63","120.19","119.31","4.36M","0.14%"
"2013年10月18日","119.65","119.61","119.85","119.13","6.23M","0.11%"
"2013年10月17日","119.52","119.10","119.61","118.67","5.26M","0.30%"
"2013年10月16日","119.16","119.42","119.72","118.34","5.62M","0.85%"
"2013年10月15日","118.15","118.56","119.07","117.77","6.42M","-0.36%"
"2013年10月14日","118.58","117.33","118.75","116.32","4.79M","0.77%"
"2013年10月11日","117.67","116.57","117.71","115.93","6.54M","1.11%"
"2013年10月10日","116.38","115.24","116.38","114.44","11.14M","0.22%"
"2013年10月9日","116.13","116.55","116.80","115.32","8.86M","-0.51%"
"2013年10月8日","116.73","117.89","118.09","116.71","6.75M","-0.97%"
"2013年10月7日","117.87","117.43","118.50","117.21","5.68M","-0.22%"
"2013年10月4日","118.13","118.50","118.54","117.52","6.54M","-0.10%"
"2013年10月3日","118.25","120.62","120.66","117.93","10.21M","-2.14%"
"2013年10月2日","120.83","121.04","121.18","119.76","5.90M","-0.40%"
"2013年10月1日","121.32","121.27","121.74","120.84","4.70M","-0.15%"
"2013年9月30日","121.50","121.60","122.02","120.50","6.42M","-0.93%"
"2013年9月27日","122.64","123.23","123.26","122.51","4.52M","-0.69%"
"2013年9月26日","123.49","124.10","124.44","123.02","5.02M","-0.47%"
"2013年9月25日","124.07","124.77","125.03","124.07","4.50M","-0.34%"
"2013年9月24日","124.49","125.34","125.84","124.41","6.10M","-0.82%"
"2013年9月23日","125.52","124.62","125.62","124.57","5.45M","0.48%"
"2013年9月20日","124.92","125.66","126.23","124.74","10.28M","-0.41%"
"2013年9月19日","125.44","125.86","126.12","125.25","4.44M","-0.30%"
"2013年9月18日","125.82","124.36","126.43","123.82","6.30M","1.19%"
"2013年9月17日","124.34","124.10","125.19","124.08","5.46M","0.21%"
"2013年9月16日","124.08","124.98","125.19","123.98","4.29M","-0.05%"
"2013年9月13日","124.14","123.98","124.83","123.81","3.09M","0.20%"
"2013年9月12日","123.89","124.05","124.62","123.64","4.53M","-0.02%"
"2013年9月11日","123.92","123.05","124.00","122.79","5.00M","0.74%"
"2013年9月10日","123.01","122.82","123.01","121.21","6.00M","0.65%"
"2013年9月9日","122.22","121.21","122.47","121.21","4.48M","0.83%"
"2013年9月6日","121.21","121.53","122.75","119.01","5.69M","-0.13%"
"2013年9月5日","121.37","121.08","121.67","120.91","3.34M","0.42%"
"2013年9月4日","120.86","120.35","121.27","119.94","3.67M","0.26%"
"2013年9月3日","120.55","121.34","121.48","120.00","4.15M","0.10%"
"2013年8月30日","120.43","120.52","120.88","120.07","4.70M","0.05%"
"2013年8月29日","120.37","121.15","121.56","120.06","5.49M","-1.18%"
"2013年8月28日","121.81","119.46","122.36","119.46","7.62M","2.53%"
"2013年8月27日","118.81","118.24","119.67","118.07","5.19M","-0.03%"
"2013年8月26日","118.84","119.74","119.92","118.52","3.78M","-0.58%"
"2013年8月23日","119.53","118.69","119.73","118.12","4.68M","1.05%"
"2013年8月22日","118.29","117.94","119.19","117.43","4.03M","0.50%"
"2013年8月21日","117.70","118.38","118.50","117.22","5.65M","-0.50%"
"2013年8月20日","118.29","118.59","119.30","118.29","4.49M","-0.31%"
"2013年8月19日","118.66","119.69","120.00","118.52","4.31M","-1.02%"
"2013年8月16日","119.88","119.89","120.19","119.05","5.65M","-0.31%"
"2013年8月15日","120.25","120.68","121.00","120.00","4.25M","-1.47%"
"2013年8月14日","122.05","122.76","122.96","121.54","6.89M","-0.37%"
"2013年8月13日","122.50","121.93","123.23","121.40","4.46M","0.57%"
"2013年8月12日","121.80","122.00","122.07","120.91","6.02M","-0.57%"
"2013年8月9日","122.50","123.12","123.12","121.68","5.74M","-0.46%"
"2013年8月8日","123.07","123.88","124.21","121.91","5.64M","-0.21%"
"2013年8月7日","123.33","123.03","123.92","122.80","3.90M","0.15%"
"2013年8月6日","123.14","123.97","124.16","123.01","4.68M","-0.69%"
"2013年8月5日","123.99","124.72","124.75","123.76","3.73M","-0.77%"
"2013年8月2日","124.95","124.87","125.10","123.30","7.48M","-1.18%"
"2013年8月1日","126.44","126.49","126.66","125.64","5.76M","0.44%"
"2013年7月31日","125.89","126.02","126.91","125.46","5.40M","0.09%"
"2013年7月30日","125.78","126.20","126.96","125.19","4.59M","-0.31%"
"2013年7月29日","126.17","127.37","127.37","125.89","4.03M","-1.09%"
"2013年7月26日","127.56","127.03","127.62","126.09","4.83M","-0.16%"
"2013年7月25日","127.76","126.14","127.83","125.79","4.47M","1.10%"
"2013年7月24日","126.37","127.25","127.63","125.90","4.53M","-0.70%"
"2013年7月23日","127.26","127.07","127.65","126.70","3.76M","0.18%"
"2013年7月22日","127.03","126.71","127.61","126.65","4.06M","0.09%"
"2013年7月19日","126.91","125.79","126.91","125.17","5.93M","1.15%"
"2013年7月18日","125.47","124.68","125.65","124.64","4.32M","0.90%"
"2013年7月17日","124.35","124.65","125.00","124.29","3.64M","0.19%"
"2013年7月16日","124.12","124.71","125.24","123.55","4.00M","-0.45%"
"2013年7月15日","124.68","124.11","125.14","124.06","4.06M","0.50%"
"2013年7月12日","124.06","123.52","124.15","123.04","5.62M","0.23%"
"2013年7月11日","123.77","123.95","124.11","122.51","7.24M","0.71%"
"2013年7月10日","122.90","123.45","124.54","122.71","5.55M","-0.30%"
"2013年7月9日","123.27","122.39","123.74","122.05","6.25M","1.67%"
"2013年7月8日","121.24","121.29","122.31","120.98","4.96M","0.61%"
"2013年7月5日","120.51","119.69","120.86","119.10","4.39M","1.20%"
"2013年7月3日","119.08","119.24","119.30","118.61","3.04M","-0.06%"
"2013年7月2日","119.15","119.09","120.33","118.59","4.91M","0.06%"
"2013年7月1日","119.08","118.35","120.01","118.00","5.05M","0.63%"
"2013年6月28日","118.34","118.79","119.56","118.14","6.51M","-0.31%"
"2013年6月27日","118.71","118.52","119.54","118.49","4.46M","0.47%"
"2013年6月26日","118.15","118.34","118.54","117.00","4.82M","0.60%"
"2013年6月25日","117.45","117.75","117.87","116.92","5.98M","0.54%"
"2013年6月24日","116.82","117.71","118.03","116.02","6.79M","-1.77%"
"2013年6月21日","118.93","119.24","119.54","117.26","10.69M","0.83%"
"2013年6月20日","117.95","119.54","119.66","117.57","7.63M","-2.12%"
"2013年6月19日","120.50","121.80","122.38","120.41","4.63M","-0.84%"
"2013年6月18日","121.52","121.03","121.72","120.86","4.55M","0.25%"
"2013年6月17日","121.22","120.45","121.78","120.28","4.05M","0.78%"
"2013年6月14日","120.28","121.13","121.68","120.10","4.42M","-1.13%"
"2013年6月13日","121.66","119.90","121.83","119.81","4.66M","1.41%"
"2013年6月12日","119.97","122.32","122.73","119.61","5.49M","-1.22%"
"2013年6月11日","121.45","121.87","122.76","121.26","4.55M","-1.01%"
"2013年6月10日","122.69","122.94","122.98","121.80","5.59M","0.81%"
"2013年6月7日","121.70","121.22","121.97","120.14","6.09M","0.92%"
"2013年6月6日","120.59","121.27","121.49","118.66","10.14M","-0.81%"
"2013年6月5日","121.57","122.34","123.10","121.31","7.75M","-1.13%"
"2013年6月4日","122.96","122.82","123.65","122.14","7.68M","-0.91%"
"2013年6月3日","124.09","122.35","124.12","122.35","7.26M","1.09%"
"2013年5月31日","122.75","124.64","125.30","122.75","7.91M","-1.89%"
"2013年5月30日","125.11","125.23","125.97","124.51","4.35M","-0.30%"
"2013年5月29日","125.49","126.07","126.73","124.81","6.42M","-0.74%"
"2013年5月28日","126.43","126.39","127.40","125.86","6.60M","0.78%"
"2013年5月24日","125.45","124.50","125.56","124.33","5.59M","0.04%"
"2013年5月23日","125.40","124.21","125.83","124.21","8.10M","0.38%"
"2013年5月22日","124.93","125.91","126.98","124.60","9.35M","-0.80%"
"2013年5月21日","125.94","124.84","126.20","124.75","6.70M","0.93%"
"2013年5月20日","124.78","123.43","124.84","123.18","5.30M","1.10%"
"2013年5月17日","123.42","122.74","123.42","122.27","6.85M","0.54%"
"2013年5月16日","122.76","122.74","123.37","122.50","5.55M","-0.20%"
"2013年5月15日","123.01","123.73","123.73","122.59","7.95M","-1.59%"
"2013年5月14日","125.00","122.92","125.00","122.91","6.97M","1.75%"
"2013年5月13日","122.85","122.90","123.10","122.17","16.87M","-0.31%"
"2013年5月10日","123.23","123.38","123.71","122.11","10.58M","-0.33%"
"2013年5月9日","123.64","123.46","123.95","122.96","9.24M","0.23%"
"2013年5月8日","123.36","122.98","123.60","122.85","4.48M","0.26%"
"2013年5月7日","123.04","123.35","123.72","122.54","4.41M","-0.17%"
"2013年5月6日","123.25","123.32","123.78","122.71","4.67M","-0.19%"
"2013年5月3日","123.49","122.69","123.91","122.46","6.38M","1.19%"
"2013年5月2日","122.04","121.00","122.33","120.63","5.07M","1.47%"
"2013年5月1日","120.27","121.25","121.58","120.05","6.08M","-1.43%"
"2013年4月30日","122.01","121.05","122.01","120.12","6.91M","0.57%"
"2013年4月29日","121.32","120.44","121.60","120.04","5.16M","1.07%"
"2013年4月26日","120.04","119.00","120.41","118.68","6.01M","1.29%"
"2013年4月25日","118.51","119.07","120.00","118.30","5.60M","0.19%"
"2013年4月24日","118.28","118.04","118.68","117.98","4.56M","0.68%"
"2013年4月23日","117.48","116.99","118.09","115.90","6.75M","0.78%"
"2013年4月22日","116.57","116.39","117.10","115.89","5.44M","0.58%"
"2013年4月19日","115.90","116.36","116.95","115.83","7.57M","0.27%"
"2013年4月18日","115.59","114.88","116.12","114.60","6.45M","0.68%"
"2013年4月17日","114.81","116.40","116.40","114.12","8.29M","-1.88%"
"2013年4月16日","117.01","117.34","117.50","116.21","6.51M","0.38%"
