"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","39.26","39.76","39.83","39.11","6.56M","-1.11%"
"2013年11月19日","39.70","39.90","39.95","39.51","6.02M","-0.43%"
"2013年11月18日","39.87","40.16","40.31","39.79","7.05M","-0.89%"
"2013年11月15日","40.23","40.17","40.30","40.04","6.43M","0.32%"
"2013年11月14日","40.10","39.81","40.13","39.70","7.51M","1.26%"
"2013年11月13日","39.60","39.17","39.68","39.08","7.27M","0.66%"
"2013年11月12日","39.34","39.60","39.70","39.23","5.27M","-0.81%"
"2013年11月11日","39.66","39.41","39.85","39.22","4.90M","-0.03%"
"2013年11月8日","39.67","38.65","39.67","38.65","5.45M","2.59%"
"2013年11月7日","38.67","39.38","39.53","38.58","6.75M","-1.50%"
"2013年11月6日","39.26","38.85","39.40","38.85","4.97M","1.39%"
"2013年11月5日","38.72","38.32","38.94","38.25","4.51M","0.83%"
"2013年11月4日","38.40","39.09","39.09","38.16","10.93M","-1.41%"
"2013年11月1日","38.95","39.57","39.59","38.84","5.19M","-1.32%"
"2013年10月31日","39.47","39.35","39.80","39.20","5.31M","0.53%"
"2013年10月30日","39.26","39.62","39.96","38.93","5.91M","-0.51%"
"2013年10月29日","39.46","39.38","39.60","39.17","7.08M","0.89%"
"2013年10月28日","39.11","39.61","39.69","39.06","7.96M","-1.04%"
"2013年10月25日","39.52","40.39","40.74","39.02","10.92M","-2.71%"
"2013年10月24日","40.62","40.18","41.03","39.14","14.15M","-1.02%"
"2013年10月23日","41.04","41.30","41.45","40.92","7.34M","-1.23%"
"2013年10月22日","41.55","41.44","41.74","41.39","6.76M","0.46%"
"2013年10月21日","41.36","41.19","41.50","41.01","5.76M","0.12%"
"2013年10月18日","41.31","41.55","41.63","41.19","4.91M","-0.19%"
"2013年10月17日","41.39","41.09","41.43","40.96","5.87M","0.63%"
"2013年10月16日","41.13","40.73","41.30","40.50","8.07M","1.73%"
"2013年10月15日","40.43","40.78","40.80","40.32","4.67M","-0.96%"
"2013年10月14日","40.82","40.69","40.92","40.37","4.87M","-0.61%"
"2013年10月11日","41.07","40.52","41.10","40.21","8.04M","1.66%"
"2013年10月10日","40.40","39.44","40.44","39.43","7.77M","3.80%"
"2013年10月9日","38.92","38.63","39.09","38.08","9.56M","1.04%"
"2013年10月8日","38.52","39.28","39.29","38.49","9.77M","-2.11%"
"2013年10月7日","39.35","39.41","39.85","39.12","6.10M","-1.60%"
"2013年10月4日","39.99","38.80","40.02","38.52","9.53M","3.15%"
"2013年10月3日","38.77","38.61","38.81","38.25","7.99M","0.18%"
"2013年10月2日","38.70","38.16","38.71","38.15","8.30M","1.02%"
"2013年10月1日","38.31","38.46","38.54","38.04","10.40M","-0.23%"
"2013年9月30日","38.40","38.51","38.78","38.26","10.83M","-1.59%"
"2013年9月27日","39.02","39.83","39.84","38.89","9.27M","-2.43%"
"2013年9月26日","39.99","39.82","40.20","39.68","5.92M","0.33%"
"2013年9月25日","39.86","39.22","40.24","39.07","8.50M","1.92%"
"2013年9月24日","39.11","39.20","39.76","38.98","16.95M","-0.33%"
"2013年9月23日","39.24","39.57","39.69","39.14","19.63M","-1.16%"
"2013年9月20日","39.70","40.61","40.66","39.54","20.86M","-2.24%"
"2013年9月19日","40.61","40.72","41.08","40.37","6.85M","-0.61%"
"2013年9月18日","40.86","39.43","40.91","39.35","7.76M","2.90%"
"2013年9月17日","39.71","39.80","40.03","39.51","6.33M","-0.23%"
"2013年9月16日","39.80","40.27","40.33","39.71","7.18M","-0.18%"
"2013年9月13日","39.87","38.97","40.04","38.85","8.32M","2.60%"
"2013年9月12日","38.86","39.70","40.24","38.75","14.05M","-2.48%"
"2013年9月11日","39.85","39.89","40.06","39.50","7.68M","-0.33%"
"2013年9月10日","39.98","39.00","40.02","38.89","10.24M","3.01%"
"2013年9月9日","38.81","38.55","38.98","38.54","5.30M","0.65%"
"2013年9月6日","38.56","38.73","38.82","38.12","8.44M","0.39%"
"2013年9月5日","38.41","37.79","38.59","37.68","5.61M","1.67%"
"2013年9月4日","37.78","37.38","37.91","37.12","4.24M","0.91%"
"2013年9月3日","37.44","37.88","37.93","37.30","5.99M","0.11%"
"2013年8月30日","37.40","37.71","37.86","37.27","5.10M","-0.32%"
"2013年8月29日","37.52","37.33","37.75","37.23","4.00M","0.19%"
"2013年8月28日","37.45","37.47","37.72","37.22","5.03M","-0.29%"
"2013年8月27日","37.56","38.23","38.49","37.53","7.16M","-2.82%"
"2013年8月26日","38.65","38.67","39.20","38.26","10.31M","-0.23%"
"2013年8月23日","38.74","37.30","38.96","37.25","16.49M","4.17%"
"2013年8月22日","37.19","37.17","37.50","36.89","6.37M","0.13%"
"2013年8月21日","37.14","36.82","37.55","36.82","8.02M","0.51%"
"2013年8月20日","36.95","36.68","37.19","36.51","7.26M","0.87%"
"2013年8月19日","36.63","36.78","37.22","36.59","4.48M","-0.70%"
"2013年8月16日","36.89","37.00","37.14","36.63","5.82M","-0.70%"
"2013年8月15日","37.15","37.37","37.43","36.85","5.69M","-1.59%"
"2013年8月14日","37.75","37.81","38.28","37.64","5.67M","-0.34%"
"2013年8月13日","37.88","37.70","38.09","37.48","7.75M","1.07%"
"2013年8月12日","37.48","37.61","38.09","37.38","9.09M","-1.47%"
"2013年8月9日","38.04","36.85","38.50","36.80","18.73M","3.06%"
"2013年8月8日","36.91","36.47","36.97","36.23","7.48M","1.71%"
"2013年8月7日","36.29","35.91","36.53","35.82","5.47M","0.64%"
"2013年8月6日","36.06","36.44","36.44","35.89","5.00M","-1.15%"
"2013年8月5日","36.48","36.27","36.68","36.13","6.92M","0.72%"
"2013年8月2日","36.22","35.28","36.25","35.16","7.86M","2.32%"
"2013年8月1日","35.40","35.38","35.63","35.25","5.35M","1.03%"
"2013年7月31日","35.04","35.12","35.49","35.00","7.33M","-0.06%"
"2013年7月30日","35.06","34.85","35.14","34.66","4.47M","0.17%"
"2013年7月29日","35.00","34.70","35.09","34.64","4.28M","0.86%"
"2013年7月26日","34.70","34.79","34.89","34.37","5.42M","-0.83%"
"2013年7月25日","34.99","34.95","35.10","34.65","7.95M","1.80%"
"2013年7月24日","34.37","34.59","34.66","34.03","8.22M","-0.52%"
