"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","511.6","515.5","517.2","510.7","965.54K","-0.28%"
"2013年11月19日","513.1","516.4","517.9","512.0","1.13M","-0.62%"
"2013年11月18日","516.3","518.4","524.9","515.1","1.76M","-0.19%"
"2013年11月15日","517.3","517.9","519.5","515.7","1.28M","-0.16%"
"2013年11月14日","518.1","517.5","520.4","515.7","1.17M","0.27%"
"2013年11月13日","516.7","503.9","516.9","503.7","1.58M","2.05%"
"2013年11月12日","506.4","504.3","509.3","503.0","1.22M","0.12%"
"2013年11月11日","505.8","505.2","508.5","504.5","1.11M","-0.53%"
"2013年11月8日","508.5","504.9","509.7","504.7","1.29M","0.80%"
"2013年11月7日","504.5","511.8","512.5","504.3","1.68M","-1.45%"
"2013年11月6日","511.9","513.3","514.0","508.2","914.62K","0.12%"
"2013年11月5日","511.3","510.7","516.3","509.2","1.18M","-0.45%"
"2013年11月4日","513.5","516.3","516.7","511.5","1.14M","-0.09%"
"2013年11月1日","514.0","516.4","518.5","513.0","1.28M","-0.34%"
"2013年10月31日","515.8","515.0","521.3","512.5","1.64M","0.02%"
"2013年10月30日","515.7","519.2","519.3","513.5","1.33M","-0.56%"
"2013年10月29日","518.6","510.0","519.0","507.2","1.61M","2.09%"
"2013年10月28日","508.0","508.1","512.2","507.0","1.17M","-0.02%"
"2013年10月25日","508.1","514.9","514.9","505.9","2.03M","-1.01%"
"2013年10月24日","513.3","516.4","520.8","512.9","2.09M","-0.57%"
"2013年10月23日","516.2","501.0","517.9","500.8","2.67M","2.42%"
"2013年10月22日","504.0","503.0","507.0","498.4","2.21M","0.37%"
"2013年10月21日","502.1","506.2","510.0","500.3","3.63M","-0.80%"
"2013年10月18日","506.2","488.8","508.2","487.5","11.58M","13.79%"
"2013年10月17日","444.8","446.9","448.9","443.3","4.26M","-1.03%"
"2013年10月16日","449.5","443.4","449.6","442.4","2.01M","1.82%"
"2013年10月15日","441.4","438.3","443.2","437.4","1.59M","0.67%"
"2013年10月14日","438.5","433.8","438.5","433.1","1.24M","0.47%"
"2013年10月11日","436.4","433.4","437.2","433.1","1.41M","0.43%"
"2013年10月10日","434.5","432.3","434.8","430.5","2.26M","1.45%"
"2013年10月9日","428.4","428.6","431.7","421.9","2.65M","0.26%"
"2013年10月8日","427.3","433.1","433.4","426.2","1.95M","-1.39%"
"2013年10月7日","433.3","434.1","437.4","432.5","1.29M","-0.76%"
