"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","165.00","166.76","167.25","164.86","2.79M","-0.96%"
"2013年11月19日","166.60","165.87","168.00","165.63","2.69M","0.56%"
"2013年11月18日","165.68","164.74","167.65","164.20","3.56M","0.78%"
"2013年11月15日","164.40","163.18","165.42","163.18","2.67M","0.74%"
"2013年11月14日","163.20","163.55","163.95","162.41","3.65M","0.16%"
"2013年11月13日","162.94","161.78","163.71","161.20","3.40M","0.03%"
"2013年11月12日","162.89","163.10","164.38","162.13","2.24M","-0.58%"
"2013年11月11日","163.84","162.50","164.75","162.16","2.29M","0.41%"
"2013年11月8日","163.17","160.39","163.69","159.88","3.86M","2.21%"
"2013年11月7日","159.64","164.04","164.21","159.61","3.49M","-2.37%"
"2013年11月6日","163.52","162.53","164.30","162.33","3.59M","0.97%"
"2013年11月5日","161.95","161.67","162.63","160.78","2.54M","-0.74%"
"2013年11月4日","163.16","162.42","163.24","161.59","1.71M","0.68%"
"2013年11月1日","162.05","161.03","162.60","160.72","2.74M","0.74%"
"2013年10月31日","160.86","162.09","163.35","160.86","2.79M","-0.73%"
"2013年10月30日","162.05","162.56","162.97","161.15","2.34M","-0.04%"
"2013年10月29日","162.11","162.07","163.11","161.01","3.70M","0.41%"
"2013年10月28日","161.45","162.00","162.19","160.25","3.35M","-0.39%"
"2013年10月25日","162.09","160.00","162.24","159.91","3.72M","1.33%"
"2013年10月24日","159.96","159.45","160.35","158.83","2.60M","1.41%"
"2013年10月23日","157.74","158.02","158.08","156.56","2.74M","-0.95%"
"2013年10月22日","159.25","160.64","160.71","158.23","3.24M","-0.33%"
"2013年10月21日","159.77","158.67","160.65","158.25","2.70M","0.68%"
"2013年10月18日","158.69","158.84","159.70","156.68","4.98M","0.23%"
"2013年10月17日","158.32","156.47","159.20","155.99","7.52M","-2.42%"
"2013年10月16日","162.25","158.58","162.50","157.50","3.66M","2.93%"
"2013年10月15日","157.63","159.81","160.04","157.51","3.04M","-1.15%"
"2013年10月14日","159.46","158.22","159.92","157.50","2.43M","-0.34%"
"2013年10月11日","160.00","158.49","160.49","157.52","3.13M","1.26%"
"2013年10月10日","158.01","156.83","158.24","156.00","3.65M","2.31%"
"2013年10月9日","154.44","153.56","155.32","152.83","3.23M","0.91%"
"2013年10月8日","153.05","154.62","155.85","153.00","2.92M","-0.78%"
"2013年10月7日","154.25","155.17","156.20","154.22","2.62M","-1.47%"
"2013年10月4日","156.55","157.08","157.25","156.09","2.99M","-0.19%"
"2013年10月3日","156.85","158.63","159.16","155.46","2.95M","-1.15%"
"2013年10月2日","158.67","157.69","159.58","157.52","2.43M","-0.21%"
"2013年10月1日","159.00","158.86","160.31","157.56","2.47M","0.50%"
"2013年9月30日","158.21","157.72","159.14","156.57","2.81M","-1.03%"
"2013年9月27日","159.85","160.69","160.95","159.43","3.68M","-1.50%"
"2013年9月26日","162.29","162.90","163.93","161.04","2.71M","-0.01%"
"2013年9月25日","162.31","163.26","163.69","161.16","3.62M","-0.40%"
"2013年9月24日","162.97","165.52","166.40","162.97","3.42M","-1.38%"
"2013年9月23日","165.25","168.18","168.46","164.72","4.82M","-2.65%"
"2013年9月20日","169.75","168.00","169.75","164.03","20.42M","1.17%"
"2013年9月19日","167.78","169.69","170.00","166.88","3.54M","-0.17%"
"2013年9月18日","168.06","166.50","169.09","165.64","3.42M","0.38%"
"2013年9月17日","167.42","167.19","167.58","165.66","2.65M","0.23%"
"2013年9月16日","167.03","166.31","168.57","165.19","3.67M","1.85%"
"2013年9月13日","164.00","164.38","164.72","162.96","2.23M","0.40%"
"2013年9月12日","163.35","164.84","165.31","163.07","2.69M","-1.04%"
"2013年9月11日","165.06","164.93","165.79","163.78","2.23M","-0.05%"
"2013年9月10日","165.14","162.98","165.53","162.56","5.27M","3.54%"
"2013年9月9日","159.49","157.41","159.70","157.16","2.15M","1.81%"
"2013年9月6日","156.66","156.98","157.71","153.42","2.46M","0.31%"
"2013年9月5日","156.17","155.99","158.05","155.57","2.45M","0.28%"
"2013年9月4日","155.74","154.76","157.25","154.35","2.20M","0.63%"
"2013年9月3日","154.76","154.48","156.04","153.52","2.46M","1.73%"
"2013年8月30日","152.13","153.77","153.98","151.33","2.23M","-0.98%"
"2013年8月29日","153.63","152.37","154.68","152.09","2.13M","0.43%"
"2013年8月28日","152.97","153.00","154.15","151.45","2.34M","-0.17%"
"2013年8月27日","153.23","155.72","156.53","152.93","3.67M","-2.96%"
"2013年8月26日","157.90","158.41","160.70","157.75","1.89M","-0.47%"
"2013年8月23日","158.65","159.59","159.79","158.00","1.50M","-0.48%"
"2013年8月22日","159.41","157.81","159.66","157.20","2.30M","1.46%"
"2013年8月21日","157.11","158.78","159.23","156.51","3.05M","-1.54%"
"2013年8月20日","159.56","158.72","160.03","157.78","2.30M","0.59%"
"2013年8月19日","158.63","160.17","160.79","158.53","2.23M","-1.26%"
"2013年8月16日","160.66","160.28","162.29","160.03","2.02M","-0.06%"
"2013年8月15日","160.75","161.91","161.97","160.07","2.21M","-1.59%"
"2013年8月14日","163.34","163.85","164.80","162.93","1.67M","-0.23%"
"2013年8月13日","163.71","161.99","164.55","160.95","2.31M","1.25%"
"2013年8月12日","161.69","161.73","162.38","160.55","1.98M","-0.27%"
"2013年8月9日","162.13","162.40","164.10","162.02","2.01M","-0.44%"
"2013年8月8日","162.84","164.75","166.43","162.83","2.82M","-0.37%"
"2013年8月7日","163.45","164.00","164.23","162.05","2.13M","-0.81%"
"2013年8月6日","164.78","168.07","168.28","164.47","3.60M","-2.10%"
"2013年8月5日","168.32","167.28","169.69","166.44","2.62M","0.42%"
"2013年8月2日","167.62","166.83","167.90","166.46","1.87M","0.08%"
