"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","79.75","80.73","80.73","79.38","7.24M","-0.78%"
"2013年11月19日","80.38","82.22","82.27","80.26","12.24M","0.89%"
"2013年11月18日","79.67","80.00","80.47","79.19","8.62M","-0.45%"
"2013年11月15日","80.03","78.84","80.09","78.56","10.41M","1.38%"
"2013年11月14日","78.94","78.14","79.34","78.06","6.84M","1.73%"
"2013年11月13日","77.60","75.69","77.69","75.69","7.07M","1.86%"
"2013年11月12日","76.18","75.84","76.59","75.72","6.63M","1.07%"
"2013年11月11日","75.37","75.27","75.67","74.93","5.77M","-0.15%"
"2013年11月8日","75.48","75.28","75.71","74.78","9.23M","-0.28%"
"2013年11月7日","75.69","76.82","77.19","75.67","5.42M","-0.96%"
"2013年11月6日","76.42","76.72","76.79","75.91","5.07M","-0.30%"
"2013年11月5日","76.65","76.78","76.80","76.07","6.04M","-0.45%"
"2013年11月4日","77.00","77.18","77.42","76.61","3.91M","0.01%"
"2013年11月1日","76.99","77.98","78.03","76.84","7.18M","-1.16%"
"2013年10月31日","77.89","77.99","78.45","77.52","7.58M","0.01%"
"2013年10月30日","77.88","77.68","78.60","77.52","7.26M","0.49%"
"2013年10月29日","77.50","76.45","77.55","76.39","7.25M","1.89%"
"2013年10月28日","76.06","76.15","76.40","75.80","7.73M","-0.25%"
"2013年10月25日","76.25","76.55","76.61","76.01","5.94M","-0.69%"
"2013年10月24日","76.78","75.42","76.84","75.41","7.94M","2.26%"
"2013年10月23日","75.08","74.54","75.41","74.51","5.53M","0.29%"
"2013年10月22日","74.86","75.04","75.12","74.59","6.87M","0.32%"
"2013年10月21日","74.62","74.60","74.80","74.15","7.58M","-0.09%"
"2013年10月18日","74.69","75.26","75.50","73.74","14.33M","-1.39%"
"2013年10月17日","75.74","74.51","75.81","74.50","7.18M","1.07%"
"2013年10月16日","74.94","75.44","75.59","74.57","12.88M","-0.32%"
"2013年10月15日","75.18","76.14","76.24","75.09","6.65M","-1.53%"
"2013年10月14日","76.35","75.74","76.52","75.59","4.12M","0.04%"
"2013年10月11日","76.32","75.45","76.63","75.42","6.94M","1.07%"
"2013年10月10日","75.51","75.04","75.51","74.74","6.09M","1.85%"
"2013年10月9日","74.14","74.35","74.64","73.90","6.82M","-0.18%"
"2013年10月8日","74.27","75.02","75.27","74.17","9.00M","-1.14%"
"2013年10月7日","75.13","75.40","75.85","75.09","5.09M","-0.86%"
