"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","87.22","88.15","88.15","87.10","1.80M","-0.73%"
"2013年11月19日","87.86","88.02","88.46","87.70","1.78M","-0.92%"
"2013年11月18日","88.68","88.88","89.52","88.54","2.42M","0.07%"
"2013年11月15日","88.62","88.28","88.77","88.21","2.57M","-0.06%"
"2013年11月14日","88.67","87.75","88.82","87.40","2.80M","1.33%"
"2013年11月13日","87.51","86.36","87.51","86.13","2.66M","1.06%"
"2013年11月12日","86.59","87.23","87.40","86.46","2.44M","-0.95%"
"2013年11月11日","87.42","87.37","87.67","87.08","2.04M","-0.02%"
"2013年11月8日","87.44","85.52","87.46","85.37","2.74M","2.32%"
"2013年11月7日","85.46","86.73","86.99","85.33","2.39M","-1.45%"
"2013年11月6日","86.72","86.82","87.19","86.39","1.80M","0.44%"
"2013年11月5日","86.34","86.05","86.69","85.42","1.98M","0.03%"
"2013年11月4日","86.31","87.00","87.00","85.90","3.24M","-0.69%"
"2013年11月1日","86.91","86.77","87.77","86.53","3.09M","0.21%"
"2013年10月31日","86.73","86.85","87.65","86.50","2.29M","0.01%"
"2013年10月30日","86.72","87.52","87.94","86.57","1.83M","-0.85%"
"2013年10月29日","87.46","87.11","87.52","86.93","1.94M","0.15%"
"2013年10月28日","87.33","87.14","87.55","86.91","1.94M","-0.19%"
"2013年10月25日","87.50","87.20","87.54","86.65","2.75M","0.25%"
"2013年10月24日","87.28","86.85","87.43","86.72","2.26M","0.68%"
"2013年10月23日","86.69","86.13","86.69","85.54","2.71M","0.62%"
"2013年10月22日","86.16","84.97","86.48","84.90","3.34M","1.78%"
"2013年10月21日","84.65","84.58","84.84","84.06","3.52M","0.08%"
"2013年10月18日","84.58","85.71","85.94","83.70","7.04M","-2.49%"
"2013年10月17日","86.74","85.39","86.78","85.19","2.68M","1.15%"
"2013年10月16日","85.75","85.79","86.17","85.01","2.42M","0.72%"
"2013年10月15日","85.14","85.76","86.00","84.97","1.97M","-0.98%"
"2013年10月14日","85.98","85.68","86.14","85.33","2.85M","-0.56%"
"2013年10月11日","86.46","85.01","86.51","84.90","3.39M","1.61%"
"2013年10月10日","85.09","82.85","85.09","82.80","3.60M","3.89%"
"2013年10月9日","81.90","82.00","82.50","81.45","2.63M","0.10%"
"2013年10月8日","81.82","82.80","83.35","81.79","3.05M","-1.31%"
"2013年10月7日","82.91","81.45","83.40","81.10","3.58M","0.81%"
"2013年10月4日","82.24","81.67","82.49","81.31","2.54M","0.97%"
"2013年10月3日","81.45","82.63","82.80","81.04","2.63M","-1.68%"
"2013年10月2日","82.84","82.65","82.88","82.08","2.93M","-0.46%"
"2013年10月1日","83.22","83.13","83.52","82.86","2.45M","0.22%"
"2013年9月30日","83.04","82.80","83.43","82.37","2.49M","-0.65%"
"2013年9月27日","83.58","83.55","83.81","83.15","1.70M","-0.56%"
"2013年9月26日","84.05","84.02","84.43","83.72","1.39M","0.25%"
"2013年9月25日","83.84","84.33","84.67","83.84","2.26M","-0.49%"
"2013年9月24日","84.25","84.10","84.96","83.74","2.28M","0.14%"
"2013年9月23日","84.13","85.21","85.48","83.98","3.27M","-1.58%"
"2013年9月20日","85.48","86.61","86.71","85.48","3.47M","-1.51%"
"2013年9月19日","86.79","86.92","87.55","86.67","2.29M","0.16%"
"2013年9月18日","86.65","85.42","86.88","84.90","2.31M","1.40%"
"2013年9月17日","85.45","85.14","85.67","85.01","1.99M","0.41%"
"2013年9月16日","85.10","85.11","85.33","84.44","2.16M","1.25%"
"2013年9月13日","84.05","84.02","84.09","83.32","1.66M","0.32%"
"2013年9月12日","83.78","84.08","84.42","83.77","2.02M","-0.30%"
"2013年9月11日","84.03","84.20","84.40","83.65","2.51M","-0.12%"
"2013年9月10日","84.13","82.98","84.28","82.80","2.36M","2.06%"
"2013年9月9日","82.43","81.84","82.73","81.77","2.27M","0.94%"
"2013年9月6日","81.66","81.56","82.23","80.25","2.06M","0.33%"
"2013年9月5日","81.39","80.90","81.91","80.69","1.82M","0.53%"
"2013年9月4日","80.96","80.40","81.09","80.23","3.34M","-0.02%"
"2013年9月3日","80.98","80.44","81.03","80.31","4.03M","1.77%"
"2013年8月30日","79.57","80.36","80.36","79.26","1.97M","-0.61%"
"2013年8月29日","80.06","79.25","80.49","79.09","1.81M","0.77%"
"2013年8月28日","79.45","79.24","79.74","78.88","3.05M","0.25%"
"2013年8月27日","79.25","80.17","80.50","79.09","3.05M","-2.22%"
"2013年8月26日","81.05","81.51","81.67","80.95","2.05M","-0.43%"
"2013年8月23日","81.40","80.83","81.58","80.41","1.81M","0.78%"
"2013年8月22日","80.77","80.57","81.08","80.38","2.64M","0.24%"
"2013年8月21日","80.58","81.60","81.69","80.52","2.91M","-1.40%"
"2013年8月20日","81.72","81.49","82.19","81.40","1.76M","0.32%"
"2013年8月19日","81.46","81.69","82.01","81.40","2.32M","-0.61%"
"2013年8月16日","81.96","81.65","82.15","81.52","3.58M","-0.06%"
"2013年8月15日","82.01","82.60","82.70","81.78","2.30M","-1.61%"
"2013年8月14日","83.35","83.79","83.92","83.22","1.72M","-0.41%"
"2013年8月13日","83.69","83.48","83.94","83.16","1.45M","0.31%"
"2013年8月12日","83.43","82.96","83.55","82.62","2.12M","0.13%"
"2013年8月9日","83.32","83.53","83.69","83.11","2.26M","-0.23%"
"2013年8月8日","83.51","84.10","84.39","83.50","2.11M","-0.17%"
"2013年8月7日","83.65","83.99","84.00","83.34","2.44M","-0.61%"
"2013年8月6日","84.16","84.46","84.70","83.91","2.07M","-0.44%"
"2013年8月5日","84.53","84.28","84.71","84.01","1.50M","-0.18%"
"2013年8月2日","84.68","84.40","84.78","84.05","2.40M","0.14%"
"2013年8月1日","84.56","83.80","84.71","83.63","2.25M","1.90%"
"2013年7月31日","82.98","83.30","83.80","82.93","3.02M","-0.02%"
"2013年7月30日","83.00","83.24","83.74","82.74","2.44M","0.29%"
"2013年7月29日","82.76","82.63","83.12","82.48","2.27M","-0.14%"
"2013年7月26日","82.88","82.55","82.95","82.30","2.53M","0.04%"
"2013年7月25日","82.85","82.79","83.00","82.56","2.57M","-0.19%"
"2013年7月24日","83.01","83.41","83.59","82.84","1.99M","-0.31%"
"2013年7月23日","83.27","83.44","83.59","82.93","2.03M","0.28%"
"2013年7月22日","83.04","83.05","83.29","82.75","2.59M","-0.63%"
"2013年7月19日","83.57","84.38","84.85","82.90","3.18M","0.72%"
"2013年7月18日","82.97","82.44","83.29","82.01","3.72M","0.64%"
"2013年7月17日","82.44","82.37","82.95","82.23","2.25M","0.50%"
"2013年7月16日","82.03","82.35","82.64","81.86","1.89M","-0.33%"
"2013年7月15日","82.30","82.50","82.68","81.71","3.39M","-0.08%"
"2013年7月12日","82.37","82.56","82.75","81.87","2.68M","-0.24%"
"2013年7月11日","82.57","82.17","82.67","81.98","2.49M","1.67%"
"2013年7月10日","81.21","81.25","81.75","80.93","2.43M","-0.22%"
"2013年7月9日","81.39","81.32","81.65","81.14","2.93M","0.89%"
"2013年7月8日","80.67","80.48","81.04","80.05","3.86M","0.76%"
"2013年7月5日","80.06","79.04","80.08","79.04","2.10M","1.97%"
"2013年7月3日","78.51","77.36","78.97","77.32","2.58M","0.81%"
"2013年7月2日","77.88","79.24","79.84","77.63","8.98M","-3.04%"
"2013年7月1日","80.32","79.86","81.09","79.86","2.15M","1.24%"
"2013年6月28日","79.34","80.00","80.20","79.30","3.48M","-1.07%"
"2013年6月27日","80.20","80.15","81.00","80.15","3.35M","0.56%"
"2013年6月26日","79.75","78.50","79.86","78.44","3.63M","2.70%"
"2013年6月25日","77.65","77.46","77.99","77.17","2.42M","1.30%"
"2013年6月24日","76.65","77.49","77.54","76.15","3.58M","-2.04%"
"2013年6月21日","78.25","78.31","78.50","77.29","4.41M","0.75%"
"2013年6月20日","77.67","79.01","79.29","77.49","3.40M","-2.52%"
"2013年6月19日","79.68","80.83","80.93","79.68","3.06M","-1.45%"
"2013年6月18日","80.85","79.87","81.09","79.71","3.22M","1.43%"
"2013年6月17日","79.71","78.83","79.97","78.72","3.79M","1.96%"
"2013年6月14日","78.18","78.16","78.65","77.86","2.64M","-0.17%"
"2013年6月13日","78.31","77.34","78.51","77.17","2.39M","1.28%"
"2013年6月12日","77.32","78.76","78.94","77.26","2.11M","-1.07%"
"2013年6月11日","78.16","77.92","78.90","77.68","1.57M","-0.66%"
"2013年6月10日","78.68","79.24","79.31","78.29","2.35M","-0.51%"
"2013年6月7日","79.08","78.39","79.22","77.88","3.26M","1.83%"
"2013年6月6日","77.66","76.76","77.66","76.30","2.86M","1.25%"
"2013年6月5日","76.70","77.49","77.58","76.51","2.71M","-1.34%"
"2013年6月4日","77.74","78.70","79.23","77.38","3.46M","-1.41%"
"2013年6月3日","78.85","78.55","79.19","78.02","2.80M","0.50%"
"2013年5月31日","78.46","79.21","80.14","78.46","3.29M","-1.23%"
"2013年5月30日","79.44","79.01","79.85","78.70","2.78M","0.81%"
"2013年5月29日","78.80","79.18","79.68","78.54","3.29M","-1.22%"
"2013年5月28日","79.77","80.28","80.88","79.75","3.31M","0.61%"
"2013年5月24日","79.29","79.01","79.42","78.50","2.42M","0.06%"
"2013年5月23日","79.24","78.70","79.61","78.55","3.92M","-0.44%"
"2013年5月22日","79.59","80.16","80.84","79.31","4.14M","-0.70%"
"2013年5月21日","80.15","80.50","80.87","79.91","3.18M","-0.47%"
"2013年5月20日","80.53","80.32","81.24","80.23","2.53M","-0.27%"
"2013年5月17日","80.75","79.23","80.83","79.05","4.07M","2.57%"
"2013年5月16日","78.73","79.29","79.29","78.55","3.47M","-1.45%"
"2013年5月15日","79.89","78.88","79.89","78.53","3.32M","0.92%"
"2013年5月14日","79.16","77.84","79.16","77.84","3.05M","1.67%"
"2013年5月13日","77.86","77.69","78.02","77.47","1.99M","0.15%"
"2013年5月10日","77.74","77.75","78.08","77.23","2.31M","-0.05%"
"2013年5月9日","77.78","77.44","78.01","77.34","4.04M","0.39%"
"2013年5月8日","77.48","76.70","77.55","76.58","3.02M","0.75%"
"2013年5月7日","76.90","76.20","77.05","76.13","2.92M","1.08%"
"2013年5月6日","76.08","75.28","76.17","75.25","3.61M","1.12%"
"2013年5月3日","75.24","74.71","75.70","74.71","3.22M","1.72%"
"2013年5月2日","73.97","72.83","74.13","72.81","3.13M","1.99%"
"2013年5月1日","72.53","73.20","73.39","72.47","3.17M","-1.37%"
"2013年4月30日","73.54","73.97","73.98","73.00","2.92M","-0.35%"
"2013年4月29日","73.80","74.02","74.11","73.45","3.00M","-0.14%"
"2013年4月26日","73.90","74.54","74.68","73.68","3.33M","-0.85%"
"2013年4月25日","74.53","74.93","75.05","74.43","5.23M","-0.40%"
"2013年4月24日","74.83","74.97","75.17","74.63","3.76M","0.09%"
"2013年4月23日","74.76","75.00","75.00","73.75","2.91M","0.23%"
"2013年4月22日","74.59","74.29","74.89","74.03","3.77M","0.55%"
"2013年4月19日","74.18","73.72","74.44","72.66","6.56M","3.79%"
"2013年4月18日","71.47","71.85","71.89","70.92","5.34M","-0.58%"
"2013年4月17日","71.89","72.74","72.74","71.42","3.96M","-1.76%"
"2013年4月16日","73.18","72.73","73.23","72.48","2.47M","1.36%"
"2013年4月15日","72.20","73.87","73.92","72.18","3.38M","-2.76%"
"2013年4月12日","74.25","74.38","74.53","73.79","2.14M","-0.60%"
"2013年4月11日","74.70","74.44","74.86","74.20","3.18M","0.39%"
"2013年4月10日","74.41","73.53","74.44","73.30","4.39M","1.18%"
"2013年4月9日","73.54","73.64","73.72","73.18","2.93M","-0.01%"
"2013年4月8日","73.55","72.95","73.61","72.78","3.31M","0.78%"
"2013年4月5日","72.98","72.69","73.16","72.43","4.33M","-1.04%"
"2013年4月4日","73.75","73.51","73.78","73.34","4.25M","0.57%"
"2013年4月3日","73.33","74.48","74.57","73.18","4.87M","-1.19%"
"2013年4月2日","74.21","74.73","74.83","73.99","3.56M","-0.16%"
"2013年4月1日","74.33","75.20","75.28","74.10","3.95M","-1.35%"
"2013年3月28日","75.35","75.15","75.53","75.00","3.49M","0.24%"
"2013年3月27日","75.17","75.03","75.20","74.58","2.82M","-0.41%"
"2013年3月26日","75.48","75.11","75.63","74.92","3.43M","0.83%"
"2013年3月25日","74.86","75.45","75.75","74.37","4.34M","-0.44%"
"2013年3月22日","75.19","74.84","75.23","74.68","3.61M","0.80%"
"2013年3月21日","74.59","74.59","75.00","74.44","4.09M","-0.15%"
"2013年3月20日","74.70","74.37","74.87","74.37","3.64M","0.91%"
"2013年3月19日","74.03","74.07","74.37","73.43","4.26M","0.19%"
"2013年3月18日","73.89","72.72","74.27","72.55","4.26M","0.59%"
"2013年3月15日","73.46","73.57","73.86","73.33","5.98M","-0.47%"
"2013年3月14日","73.81","74.18","74.28","73.42","4.59M","-0.19%"
"2013年3月13日","73.95","73.73","74.02","73.54","3.39M","0.49%"
"2013年3月12日","73.59","73.87","73.90","73.07","2.99M","-0.37%"
"2013年3月11日","73.86","73.36","73.94","72.95","3.39M","0.22%"
"2013年3月8日","73.70","72.67","73.78","72.67","4.93M","2.12%"
"2013年3月7日","72.17","71.63","72.36","71.44","4.22M","1.26%"
"2013年3月6日","71.27","70.82","71.41","70.80","3.52M","0.83%"
"2013年3月5日","70.68","70.00","70.87","69.97","3.75M","1.41%"
"2013年3月4日","69.70","69.59","69.84","68.90","3.57M","-0.50%"
"2013年3月1日","70.05","69.71","70.26","69.23","2.98M","-0.07%"
"2013年2月28日","70.10","70.39","70.87","70.10","3.69M","-0.36%"
"2013年2月27日","70.35","69.10","70.51","69.02","2.71M","1.78%"
"2013年2月26日","69.12","69.07","69.55","68.84","3.79M","0.25%"
"2013年2月25日","68.95","69.89","70.13","68.95","5.30M","-1.34%"
"2013年2月22日","69.89","70.00","70.24","69.54","3.62M","0.13%"
"2013年2月21日","69.80","69.64","69.98","69.34","4.14M","-0.78%"
"2013年2月20日","70.35","70.81","71.43","70.34","4.21M","-0.82%"
"2013年2月19日","70.93","70.23","70.95","70.03","3.18M","1.17%"
"2013年2月15日","70.11","70.38","70.44","69.77","3.06M","0.03%"
"2013年2月14日","70.09","70.00","70.38","69.78","2.88M","-0.13%"
"2013年2月13日","70.18","70.42","70.78","69.89","2.58M","-0.34%"
"2013年2月12日","70.42","70.07","70.56","69.96","2.04M","0.47%"
"2013年2月11日","70.09","70.42","70.46","69.92","2.32M","-0.62%"
"2013年2月8日","70.53","70.28","70.80","70.18","3.28M","0.23%"
"2013年2月7日","70.37","69.92","70.44","69.58","4.11M","0.64%"
"2013年2月6日","69.92","69.53","70.00","69.31","3.42M","0.06%"
"2013年2月5日","69.88","68.98","70.17","68.97","4.58M","1.93%"
"2013年2月4日","68.56","68.74","68.94","68.39","3.03M","-0.85%"
"2013年2月1日","69.15","68.97","69.56","68.62","3.68M","1.33%"
"2013年1月31日","68.24","68.40","68.69","68.07","3.53M","-0.63%"
"2013年1月30日","68.67","68.91","69.21","68.62","2.48M","-0.61%"
"2013年1月29日","69.09","68.92","69.20","68.60","3.62M","0.25%"
"2013年1月28日","68.92","69.21","69.21","68.57","4.43M","0.86%"
"2013年1月25日","68.33","69.16","69.25","67.95","5.64M","0.13%"
"2013年1月24日","68.24","68.36","69.21","68.05","4.12M","-0.04%"
"2013年1月23日","68.27","68.30","68.40","68.05","3.28M","-0.19%"
"2013年1月22日","68.40","67.75","68.40","67.63","3.64M","0.87%"
