"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","185.19","185.22","186.24","184.65","3.65M","-0.03%"
"2013年11月19日","185.25","184.63","186.20","184.15","4.58M","0.42%"
"2013年11月18日","184.47","183.52","184.99","183.27","5.34M","0.70%"
"2013年11月15日","183.19","182.38","183.28","181.16","5.18M","0.54%"
"2013年11月14日","182.21","180.48","183.20","179.66","6.32M","-0.73%"
"2013年11月13日","183.55","182.27","183.55","181.59","4.71M","0.26%"
"2013年11月12日","183.07","182.53","184.05","182.26","4.26M","0.10%"
"2013年11月11日","182.88","180.19","183.39","180.04","5.22M","1.61%"
"2013年11月8日","179.99","178.83","180.08","177.35","6.28M","-0.01%"
"2013年11月7日","180.00","179.60","181.39","179.60","5.22M","0.45%"
"2013年11月6日","179.19","177.91","179.75","177.78","4.56M","0.75%"
"2013年11月5日","177.85","179.54","179.80","177.71","6.10M","-1.34%"
"2013年11月4日","180.27","179.90","180.80","179.34","3.48M","0.58%"
"2013年11月1日","179.23","179.81","180.34","178.88","3.64M","0.01%"
"2013年10月31日","179.21","179.65","181.67","179.04","4.32M","-0.52%"
"2013年10月30日","180.15","181.69","182.18","179.86","5.28M","-1.08%"
"2013年10月29日","182.12","177.62","182.32","177.50","8.91M","2.69%"
"2013年10月28日","177.35","177.04","177.89","176.20","3.71M","0.28%"
"2013年10月25日","176.85","178.43","179.10","176.26","4.84M","-0.53%"
"2013年10月24日","177.80","176.43","177.89","176.25","5.53M","1.15%"
"2013年10月23日","175.77","175.09","175.99","174.40","5.42M","0.46%"
"2013年10月22日","174.97","173.35","175.57","172.95","6.98M","1.22%"
"2013年10月21日","172.86","174.42","174.75","172.63","7.10M","-0.53%"
"2013年10月18日","173.78","174.80","175.00","173.25","10.55M","-0.60%"
"2013年10月17日","174.83","173.84","177.00","172.57","22.37M","-6.37%"
"2013年10月16日","186.73","185.42","186.73","184.99","6.72M","1.12%"
"2013年10月15日","184.66","185.74","185.94","184.22","3.37M","-1.24%"
"2013年10月14日","186.97","185.41","186.99","184.42","2.66M","0.44%"
"2013年10月11日","186.16","185.25","186.23","184.12","3.23M","0.75%"
"2013年10月10日","184.77","183.17","184.77","182.36","3.66M","1.90%"
"2013年10月9日","181.32","179.37","181.67","179.10","4.42M","1.45%"
"2013年10月8日","178.72","181.89","181.99","178.71","5.58M","-1.81%"
"2013年10月7日","182.01","181.85","183.31","181.85","3.97M","-1.14%"
"2013年10月4日","184.10","184.17","185.13","183.58","2.86M","0.13%"
"2013年10月3日","183.86","184.70","184.96","183.00","3.21M","-0.59%"
"2013年10月2日","184.96","185.54","186.31","184.41","3.62M","-0.76%"
"2013年10月1日","186.38","185.34","186.65","184.65","2.68M","0.65%"
"2013年9月30日","185.18","185.56","186.74","184.34","3.98M","-0.93%"
"2013年9月27日","186.92","188.87","188.94","186.45","3.91M","-1.73%"
"2013年9月26日","190.22","190.10","191.76","189.46","2.09M","0.40%"
"2013年9月25日","189.47","190.14","190.62","188.50","2.65M","-0.26%"
"2013年9月24日","189.97","190.93","191.56","189.66","3.09M","-0.53%"
"2013年9月23日","190.99","190.06","192.41","189.33","3.34M","0.51%"
"2013年9月20日","190.02","193.96","194.43","190.02","8.53M","-1.74%"
"2013年9月19日","193.39","194.18","194.89","193.22","3.18M","-0.53%"
"2013年9月18日","194.42","192.60","194.89","192.00","3.84M","1.18%"
