"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","24.56","24.70","24.82","24.46","20.29M","-0.57%"
"2013年11月19日","24.70","24.74","24.87","24.61","24.87M","0.41%"
"2013年11月18日","24.60","24.61","24.70","24.48","24.71M","0.33%"
"2013年11月15日","24.52","24.40","24.55","24.25","22.87M","0.53%"
"2013年11月14日","24.39","24.43","24.50","24.35","20.20M","-0.85%"
"2013年11月13日","24.60","24.25","24.62","24.20","22.99M","0.70%"
"2013年11月12日","24.43","23.99","24.50","23.98","37.82M","1.08%"
"2013年11月11日","24.17","24.04","24.29","23.93","19.24M","0.33%"
"2013年11月8日","24.09","24.03","24.11","23.84","31.50M","0.12%"
"2013年11月7日","24.06","24.37","24.38","24.00","25.63M","-0.78%"
"2013年11月6日","24.25","24.06","24.31","23.89","25.53M","0.92%"
"2013年11月5日","24.03","23.92","24.11","23.77","22.85M","-0.91%"
"2013年11月4日","24.25","24.32","24.40","24.15","26.64M","-0.29%"
"2013年11月1日","24.32","24.51","24.65","24.22","28.31M","-0.61%"
"2013年10月31日","24.47","24.52","24.73","24.43","30.90M","-0.12%"
"2013年10月30日","24.50","24.53","24.68","24.40","24.10M","-0.08%"
"2013年10月29日","24.52","24.40","24.67","24.35","29.96M","0.66%"
"2013年10月28日","24.36","24.18","24.49","24.17","65.58M","0.54%"
"2013年10月25日","24.23","24.11","24.24","24.02","59.63M","1.89%"
"2013年10月24日","23.78","23.86","23.97","23.78","47.59M","0.21%"
"2013年10月23日","23.73","23.93","24.05","23.56","31.65M","-1.41%"
"2013年10月22日","24.07","24.17","24.20","24.01","29.01M","-0.29%"
"2013年10月21日","24.14","23.94","24.17","23.82","35.30M","1.09%"
"2013年10月18日","23.88","23.86","23.98","23.68","29.58M","-0.17%"
"2013年10月17日","23.92","23.58","23.94","23.49","28.69M","0.93%"
"2013年10月16日","23.70","23.26","23.74","23.22","47.72M","1.33%"
"2013年10月15日","23.39","23.40","23.59","23.32","42.96M","-0.26%"
"2013年10月14日","23.45","23.09","23.49","23.03","27.18M","0.86%"
"2013年10月11日","23.25","22.83","23.26","22.82","24.55M","0.65%"
"2013年10月10日","23.10","22.98","23.22","22.92","39.19M","2.26%"
"2013年10月9日","22.59","22.51","22.96","22.48","40.44M","0.49%"
"2013年10月8日","22.48","22.87","22.88","22.48","36.11M","-1.53%"
"2013年10月7日","22.83","22.71","23.00","22.57","21.33M","0.09%"
"2013年10月4日","22.81","22.60","22.85","22.60","22.55M","0.93%"
"2013年10月3日","22.60","22.82","22.84","22.50","34.89M","-1.27%"
"2013年10月2日","22.89","22.71","22.90","22.67","23.21M","0.26%"
"2013年10月1日","22.83","22.94","23.04","22.70","25.89M","-0.39%"
"2013年9月30日","22.92","22.72","23.17","22.60","32.49M","-0.26%"
"2013年9月27日","22.98","23.21","23.39","22.88","28.93M","-1.84%"
"2013年9月26日","23.41","23.75","23.80","23.20","32.00M","-1.22%"
"2013年9月25日","23.70","23.78","23.81","23.58","19.88M","0.00%"
"2013年9月24日","23.70","23.58","23.85","23.58","24.41M","0.34%"
"2013年9月23日","23.62","23.70","23.85","23.61","22.44M","-0.63%"
"2013年9月20日","23.77","23.94","23.96","23.57","47.07M","-0.59%"
"2013年9月19日","23.91","23.96","24.09","23.84","28.26M","0.04%"
"2013年9月18日","23.90","23.85","23.92","23.56","31.98M","0.67%"
"2013年9月17日","23.74","23.69","23.89","23.67","37.54M","1.50%"
"2013年9月16日","23.39","23.63","23.71","23.35","30.26M","-0.21%"
"2013年9月13日","23.44","23.05","23.46","23.04","61.13M","3.58%"
"2013年9月12日","22.63","22.78","22.84","22.60","29.52M","-0.79%"
"2013年9月11日","22.81","22.91","22.98","22.71","45.82M","-0.74%"
"2013年9月10日","22.98","23.07","23.13","22.93","31.71M","0.31%"
"2013年9月9日","22.91","22.72","23.03","22.70","27.77M","1.06%"
"2013年9月6日","22.67","22.69","22.82","22.40","27.61M","0.31%"
"2013年9月5日","22.60","22.68","22.73","22.49","22.55M","-0.18%"
"2013年9月4日","22.64","22.38","22.78","22.28","37.95M","2.58%"
"2013年9月3日","22.07","22.21","22.24","21.97","26.43M","0.41%"
"2013年8月30日","21.98","22.24","22.25","21.90","33.90M","-0.36%"
"2013年8月29日","22.06","22.24","22.43","22.05","28.31M","-1.03%"
"2013年8月28日","22.29","22.20","22.41","22.13","28.09M","0.45%"
"2013年8月27日","22.19","22.12","22.22","22.00","37.64M","-0.36%"
"2013年8月26日","22.27","22.40","22.52","22.23","22.27M","-0.76%"
"2013年8月23日","22.44","22.34","22.57","22.33","23.09M","0.81%"
"2013年8月22日","22.26","22.26","22.39","22.17","17.38M","0.41%"
"2013年8月21日","22.17","22.54","22.58","22.06","32.40M","-1.55%"
"2013年8月20日","22.52","22.31","22.68","22.30","32.08M","1.08%"
"2013年8月19日","22.28","22.08","22.70","22.05","43.42M","1.69%"
"2013年8月16日","21.91","22.06","22.19","21.89","30.09M","-0.54%"
"2013年8月15日","22.03","22.28","22.41","21.97","40.45M","-2.39%"
"2013年8月14日","22.57","22.40","22.74","22.35","23.20M","0.22%"
"2013年8月13日","22.52","22.69","22.70","22.39","26.10M","-0.53%"
"2013年8月12日","22.64","22.48","22.70","22.45","23.52M","0.58%"
"2013年8月9日","22.51","22.41","22.55","22.31","25.15M","0.27%"
"2013年8月8日","22.45","22.75","22.78","22.41","34.80M","-1.10%"
"2013年8月7日","22.70","22.71","22.79","22.55","23.35M","-0.44%"
"2013年8月6日","22.80","22.88","22.93","22.71","28.85M","-0.52%"
"2013年8月5日","22.92","23.00","23.02","22.85","20.88M","-1.29%"
