"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","56.10","56.43","56.44","55.77","17.69M","-0.09%"
"2013年11月19日","56.15","55.97","56.64","55.78","22.98M","0.74%"
"2013年11月18日","55.74","55.49","56.00","55.30","22.32M","1.59%"
"2013年11月15日","54.87","54.27","54.96","54.19","20.53M","0.86%"
"2013年11月14日","54.40","54.26","54.50","53.70","17.63M","0.48%"
"2013年11月13日","54.14","53.52","54.20","53.15","22.12M","0.31%"
"2013年11月12日","53.97","53.93","54.08","53.60","15.96M","-0.24%"
"2013年11月11日","54.10","53.91","54.15","53.70","12.07M","0.26%"
"2013年11月8日","53.96","51.83","53.97","51.80","31.19M","4.47%"
"2013年11月7日","51.65","52.13","52.34","51.58","17.35M","-0.86%"
"2013年11月6日","52.10","52.26","52.34","51.83","14.01M","0.29%"
"2013年11月5日","51.95","51.85","52.13","51.66","14.53M","-0.17%"
"2013年11月4日","52.04","52.74","52.76","52.00","18.90M","-0.90%"
"2013年11月1日","52.51","51.45","52.70","51.30","25.80M","1.88%"
"2013年10月31日","51.54","52.65","52.71","51.54","23.74M","-2.02%"
"2013年10月30日","52.60","53.00","53.24","52.50","16.16M","-0.25%"
"2013年10月29日","52.73","52.83","52.99","52.25","23.36M","0.09%"
"2013年10月28日","52.68","52.89","53.09","52.50","14.84M","-0.17%"
"2013年10月25日","52.77","52.16","52.91","52.07","20.89M","0.55%"
"2013年10月24日","52.48","52.84","52.89","52.11","17.76M","-0.51%"
"2013年10月23日","52.75","53.31","53.36","52.72","21.03M","-1.62%"
"2013年10月22日","53.62","54.65","54.68","53.62","24.82M","-1.20%"
"2013年10月21日","54.27","54.27","54.85","53.89","19.47M","-0.06%"
"2013年10月18日","54.30","54.26","54.58","53.80","24.81M","0.17%"
"2013年10月17日","54.21","53.79","54.29","53.61","17.79M","0.39%"
"2013年10月16日","54.00","52.61","54.05","52.58","24.86M","3.23%"
"2013年10月15日","52.31","52.91","53.04","52.18","17.57M","-0.76%"
"2013年10月14日","52.71","51.94","52.84","51.76","18.88M","0.38%"
"2013年10月11日","52.51","52.96","53.35","52.16","32.50M","-0.02%"
"2013年10月10日","52.52","51.84","52.56","51.38","24.33M","3.49%"
"2013年10月9日","50.75","51.17","51.34","50.25","24.72M","-0.24%"
"2013年10月8日","50.87","51.83","51.96","50.84","19.54M","-1.85%"
"2013年10月7日","51.83","52.29","52.36","51.83","16.16M","-1.59%"
"2013年10月4日","52.67","52.07","52.68","52.01","17.41M","1.41%"
"2013年10月3日","51.94","52.00","52.20","51.50","18.61M","-0.29%"
"2013年10月2日","52.09","51.32","52.45","51.29","23.86M","0.25%"
"2013年10月1日","51.96","51.64","52.09","51.45","19.19M","0.52%"
"2013年9月30日","51.69","51.73","52.09","51.44","21.35M","-1.05%"
"2013年9月27日","52.24","51.50","52.40","51.39","23.03M","0.67%"
"2013年9月26日","51.89","51.93","52.56","51.54","22.31M","0.37%"
"2013年9月25日","51.70","50.22","51.90","50.06","39.18M","2.74%"
"2013年9月24日","50.32","51.01","51.27","50.30","34.91M","-2.22%"
"2013年9月23日","51.46","52.08","52.38","51.39","28.19M","-2.54%"
"2013年9月20日","52.80","52.95","53.47","52.80","30.80M","0.09%"
"2013年9月19日","52.75","53.63","53.75","52.53","22.45M","-1.24%"
"2013年9月18日","53.41","52.69","53.87","52.56","20.88M","0.60%"
"2013年9月17日","53.09","53.19","53.32","52.88","13.21M","-0.09%"
"2013年9月16日","53.14","53.45","53.49","52.98","17.13M","1.05%"
"2013年9月13日","52.59","52.29","52.80","52.23","11.95M","0.67%"
"2013年9月12日","52.24","53.43","53.71","52.08","21.98M","-1.92%"
"2013年9月11日","53.26","53.37","53.76","53.06","16.03M","-0.76%"
"2013年9月10日","53.67","53.83","53.93","53.30","20.23M","1.53%"
"2013年9月9日","52.86","52.78","53.19","52.52","19.94M","0.57%"
"2013年9月6日","52.56","52.41","52.71","51.28","22.34M","0.86%"
"2013年9月5日","52.11","52.03","52.52","51.91","13.92M","0.46%"
"2013年9月4日","51.87","51.16","52.10","50.93","19.93M","1.45%"
"2013年9月3日","51.13","51.25","51.72","50.83","15.28M","1.19%"
"2013年8月30日","50.53","50.82","50.83","50.29","15.87M","-0.34%"
"2013年8月29日","50.70","50.59","51.18","50.45","13.58M","0.24%"
"2013年8月28日","50.58","50.33","51.05","50.13","18.75M","-0.04%"
"2013年8月27日","50.60","51.02","51.55","50.55","23.61M","-2.32%"
"2013年8月26日","51.80","52.16","52.54","51.79","16.55M","-0.99%"
"2013年8月23日","52.32","52.27","52.42","51.90","11.13M","0.21%"
"2013年8月22日","52.21","52.00","52.66","51.93","14.66M","1.12%"
"2013年8月21日","51.63","51.92","52.22","51.28","17.14M","-0.94%"
"2013年8月20日","52.12","51.78","52.36","50.66","18.70M","0.56%"
"2013年8月19日","51.83","52.89","52.95","51.80","22.79M","-2.74%"
"2013年8月16日","53.29","53.07","53.78","53.07","17.14M","0.00%"
"2013年8月15日","53.29","53.52","53.68","52.89","16.93M","-1.59%"
"2013年8月14日","54.15","54.33","54.85","54.00","15.79M","-0.26%"
"2013年8月13日","54.29","54.22","54.70","53.60","15.08M","0.37%"
"2013年8月12日","54.09","54.04","54.32","53.68","15.13M","-0.79%"
"2013年8月9日","54.52","54.69","55.15","54.33","12.66M","-0.57%"
"2013年8月8日","54.83","55.42","55.73","54.12","18.59M","-0.85%"
"2013年8月7日","55.30","55.06","55.47","54.78","12.83M","-0.34%"
"2013年8月6日","55.49","55.99","56.10","55.31","10.59M","-1.09%"
"2013年8月5日","56.10","56.33","56.58","56.01","9.38M","-0.69%"
"2013年8月2日","56.49","56.27","56.52","56.01","11.01M","-0.09%"
"2013年8月1日","56.54","56.36","56.78","56.20","15.98M","1.45%"
"2013年7月31日","55.73","55.58","56.27","55.51","19.41M","0.72%"
"2013年7月30日","55.33","55.87","55.99","55.08","14.21M","-0.65%"
"2013年7月29日","55.69","55.98","56.00","55.38","10.06M","-0.64%"
"2013年7月26日","56.05","56.06","56.22","55.60","16.77M","-0.80%"
"2013年7月25日","56.50","56.45","56.50","55.89","13.88M","-0.23%"
"2013年7月24日","56.63","56.92","56.93","56.38","16.67M","-0.07%"
"2013年7月23日","56.67","56.72","56.89","56.48","10.58M","0.19%"
"2013年7月22日","56.56","56.17","56.67","55.95","16.00M","0.71%"
"2013年7月19日","56.16","56.51","56.55","55.91","17.76M","-0.37%"
"2013年7月18日","56.37","55.51","56.53","55.49","24.57M","1.99%"
"2013年7月17日","55.27","55.05","55.58","54.84","19.17M","0.47%"
"2013年7月16日","55.01","54.90","55.41","54.78","19.22M","0.22%"
"2013年7月15日","54.89","55.49","55.50","54.60","28.30M","-0.15%"
"2013年7月12日","54.97","55.51","55.85","54.75","32.57M","-0.31%"
"2013年7月11日","55.14","55.84","55.87","54.55","21.32M","0.57%"
"2013年7月10日","54.83","54.77","55.15","54.44","16.92M","-0.11%"
"2013年7月9日","54.89","55.07","55.17","54.19","20.52M","0.35%"
"2013年7月8日","54.70","54.54","54.91","54.05","21.79M","1.32%"
"2013年7月5日","53.99","53.36","54.00","53.11","17.08M","2.31%"
"2013年7月3日","52.77","52.31","52.81","52.21","10.44M","-0.06%"
"2013年7月2日","52.80","52.57","53.53","52.12","23.95M","0.59%"
"2013年7月1日","52.49","53.22","53.63","52.43","23.52M","-0.57%"
"2013年6月28日","52.79","53.12","53.13","52.58","18.26M","-0.68%"
"2013年6月27日","53.15","53.03","53.49","52.88","17.09M","1.24%"
"2013年6月26日","52.50","52.65","52.80","51.88","19.33M","0.81%"
"2013年6月25日","52.08","51.51","52.56","51.51","20.95M","2.28%"
"2013年6月24日","50.92","50.88","51.45","50.11","30.74M","-2.00%"
"2013年6月21日","51.96","52.96","52.98","51.69","44.42M","-0.99%"
"2013年6月20日","52.48","53.08","53.18","52.27","31.87M","-2.00%"
"2013年6月19日","53.55","53.99","54.51","53.52","20.85M","-1.03%"
"2013年6月18日","54.11","54.03","54.27","53.72","13.26M","0.48%"
"2013年6月17日","53.85","53.70","54.26","53.54","16.86M","1.36%"
"2013年6月14日","53.13","54.04","54.13","52.91","17.19M","-1.92%"
"2013年6月13日","54.17","53.00","54.24","52.97","17.09M","1.86%"
"2013年6月12日","53.18","53.90","54.10","52.96","18.48M","-0.58%"
"2013年6月11日","53.49","53.46","54.05","53.11","17.60M","-1.60%"
"2013年6月10日","54.36","54.64","54.84","54.02","16.01M","0.17%"
"2013年6月7日","54.27","53.77","54.48","53.41","21.69M","1.44%"
"2013年6月6日","53.50","52.84","53.52","52.27","23.95M","0.89%"
"2013年6月5日","53.03","53.78","54.27","52.70","24.33M","-1.87%"
"2013年6月4日","54.04","54.54","55.39","53.87","22.02M","-0.83%"
"2013年6月3日","54.49","54.60","54.86","53.03","28.28M","-0.18%"
"2013年5月31日","54.59","55.71","55.83","54.59","25.00M","-1.85%"
"2013年5月30日","55.62","54.60","55.90","54.53","24.89M","1.74%"
"2013年5月29日","54.67","54.09","54.96","53.91","20.48M","0.13%"
"2013年5月28日","54.60","54.56","54.65","54.02","27.17M","1.75%"
"2013年5月24日","53.66","52.90","53.66","52.72","18.34M","0.58%"
"2013年5月23日","53.35","52.82","53.79","52.66","25.30M","-0.52%"
"2013年5月22日","53.63","53.43","54.96","53.29","46.98M","1.15%"
"2013年5月21日","53.02","52.53","53.67","52.45","37.12M","1.40%"
"2013年5月20日","52.29","52.28","52.63","51.91","22.02M","-0.02%"
"2013年5月17日","52.30","51.26","52.33","51.25","26.10M","2.61%"
"2013年5月16日","50.97","50.87","51.66","50.84","21.39M","-0.23%"
"2013年5月15日","51.09","50.20","51.43","50.15","27.47M","1.71%"
"2013年5月14日","50.23","49.77","50.42","49.66","24.19M","1.13%"
"2013年5月13日","49.67","48.84","49.70","48.61","23.99M","1.45%"
"2013年5月10日","48.96","49.05","49.23","48.64","16.20M","-0.16%"
"2013年5月9日","49.04","49.70","49.81","48.92","18.10M","-1.45%"
"2013年5月8日","49.76","49.22","49.99","49.11","23.57M","1.26%"
"2013年5月7日","49.14","48.57","49.39","48.26","24.29M","1.99%"
"2013年5月6日","48.18","47.71","48.39","47.57","20.83M","1.28%"
"2013年5月3日","47.57","48.63","48.70","46.98","43.27M","-1.06%"
"2013年5月2日","48.08","48.25","48.25","47.71","15.53M","0.15%"
"2013年5月1日","48.01","48.76","48.91","47.85","17.69M","-2.04%"
"2013年4月30日","49.01","48.96","49.25","48.72","13.81M","0.18%"
"2013年4月29日","48.92","49.08","49.10","48.65","13.50M","0.08%"
"2013年4月26日","48.88","48.86","49.09","48.61","13.93M","-0.24%"
"2013年4月25日","49.00","49.02","49.63","48.89","19.06M","0.57%"
"2013年4月24日","48.72","48.32","48.92","48.16","16.46M","1.14%"
"2013年4月23日","48.17","47.68","48.24","47.39","20.57M","1.73%"
"2013年4月22日","47.35","47.40","47.49","46.87","15.23M","0.25%"
"2013年4月19日","47.23","47.15","47.36","46.70","19.75M","1.27%"
"2013年4月18日","46.64","46.80","47.33","46.05","26.11M","-0.32%"
"2013年4月17日","46.79","48.11","48.18","46.38","43.47M","-3.51%"
"2013年4月16日","48.49","48.43","48.52","47.59","23.87M","1.17%"
"2013年4月15日","47.93","48.39","49.34","47.90","31.53M","-2.20%"
"2013年4月12日","49.01","48.90","49.58","48.45","37.81M","-0.61%"
"2013年4月11日","49.31","49.21","49.60","48.83","22.58M","0.12%"
"2013年4月10日","49.25","48.94","49.56","48.88","20.39M","1.17%"
"2013年4月9日","48.68","48.74","48.96","48.46","20.07M","0.21%"
"2013年4月8日","48.58","47.88","48.59","47.59","18.68M","1.40%"
"2013年4月5日","47.91","46.79","48.04","46.75","22.96M","0.88%"
"2013年4月4日","47.49","46.96","47.54","46.90","21.52M","1.37%"
"2013年4月3日","46.85","48.03","48.07","46.53","33.48M","-2.96%"
"2013年4月2日","48.28","48.01","48.38","47.88","17.28M","0.94%"
"2013年4月1日","47.83","47.55","47.99","47.49","17.45M","0.78%"
"2013年3月28日","47.46","47.84","47.93","47.28","27.52M","-0.65%"
"2013年3月27日","47.77","48.20","48.31","47.56","26.53M","-1.79%"
"2013年3月26日","48.64","48.74","48.97","48.32","16.42M","0.25%"
"2013年3月25日","48.52","49.04","49.32","48.16","23.58M","-0.53%"
"2013年3月22日","48.78","48.63","49.00","48.34","22.80M","0.89%"
"2013年3月21日","48.35","48.79","49.23","48.35","23.54M","-1.57%"
"2013年3月20日","49.12","49.57","49.64","49.04","19.39M","-0.16%"
"2013年3月19日","49.20","49.65","49.99","48.68","24.42M","-0.63%"
