"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","40.06","40.05","40.45","39.94","14.42M","-0.20%"
"2013年11月19日","40.14","40.14","40.23","39.92","11.01M","-0.07%"
"2013年11月18日","40.17","40.24","40.24","40.00","9.55M","-0.12%"
"2013年11月15日","40.22","40.16","40.32","39.96","12.02M","0.02%"
"2013年11月14日","40.21","40.09","40.44","40.03","10.89M","0.22%"
"2013年11月13日","40.12","39.82","40.12","39.65","11.77M","0.60%"
"2013年11月12日","39.88","39.91","39.99","39.62","10.51M","0.03%"
"2013年11月11日","39.87","40.01","40.05","39.77","9.57M","-0.45%"
"2013年11月8日","40.05","39.74","40.05","39.49","11.90M","0.55%"
"2013年11月7日","39.83","40.08","40.25","39.76","16.23M","-0.55%"
"2013年11月6日","40.05","39.62","40.22","39.42","17.20M","1.39%"
"2013年11月5日","39.50","39.36","39.64","39.22","10.58M","-0.03%"
"2013年11月4日","39.51","39.71","39.81","39.30","10.25M","-0.25%"
"2013年11月1日","39.61","39.57","39.72","39.33","12.43M","0.10%"
"2013年10月31日","39.57","39.51","39.86","39.51","14.85M","-0.13%"
"2013年10月30日","39.62","39.88","39.89","39.51","12.36M","-0.45%"
"2013年10月29日","39.80","39.57","39.96","39.35","14.20M","0.48%"
"2013年10月28日","39.61","39.02","39.74","38.99","16.55M","1.49%"
"2013年10月25日","39.03","38.84","39.13","38.63","14.39M","0.59%"
"2013年10月24日","38.80","39.15","39.37","38.76","17.14M","-0.74%"
"2013年10月23日","39.09","39.08","39.25","38.80","12.60M","0.00%"
"2013年10月22日","39.09","38.86","39.25","38.69","17.11M","0.70%"
"2013年10月21日","38.82","38.95","38.95","38.60","12.98M","0.10%"
"2013年10月18日","38.78","38.58","38.78","38.42","18.90M","0.60%"
"2013年10月17日","38.55","38.06","38.56","38.01","15.90M","1.45%"
"2013年10月16日","38.00","38.01","38.24","37.78","18.00M","0.90%"
"2013年10月15日","37.66","38.18","38.37","37.60","21.68M","-0.66%"
"2013年10月14日","37.91","37.56","37.95","37.51","14.20M","0.37%"
"2013年10月11日","37.77","37.92","37.92","37.52","14.27M","-0.03%"
"2013年10月10日","37.78","37.77","37.86","37.45","17.18M","1.89%"
"2013年10月9日","37.08","37.38","37.42","37.01","19.00M","-0.54%"
"2013年10月8日","37.28","37.10","37.41","36.90","20.47M","0.62%"
"2013年10月7日","37.05","37.08","37.38","36.83","16.71M","-0.40%"
"2013年10月4日","37.20","37.25","37.27","36.91","17.22M","0.11%"
"2013年10月3日","37.16","37.46","37.46","37.13","14.44M","-0.72%"
"2013年10月2日","37.43","37.81","37.81","37.21","25.67M","-1.37%"
"2013年10月1日","37.95","38.00","38.09","37.62","13.20M","0.18%"
"2013年9月30日","37.88","38.19","38.30","37.75","18.10M","-1.35%"
"2013年9月27日","38.40","38.57","38.58","38.15","12.61M","-0.88%"
"2013年9月26日","38.74","38.49","38.74","38.39","10.94M","1.07%"
"2013年9月25日","38.33","38.65","38.68","38.30","11.45M","-0.52%"
"2013年9月24日","38.53","38.72","38.87","38.52","15.08M","-0.26%"
"2013年9月23日","38.63","39.16","39.19","38.44","19.02M","-1.95%"
"2013年9月20日","39.40","39.33","39.40","38.78","30.70M","0.23%"
"2013年9月19日","39.31","39.64","39.67","39.15","14.25M","-0.71%"
"2013年9月18日","39.59","38.81","39.60","38.58","18.09M","2.06%"
"2013年9月17日","38.79","38.81","39.09","38.79","12.88M","-0.18%"
"2013年9月16日","38.86","39.03","39.20","38.74","13.40M","0.44%"
"2013年9月13日","38.69","38.56","38.74","38.42","11.62M","0.65%"
"2013年9月12日","38.44","38.59","38.61","38.28","12.11M","-0.88%"
"2013年9月11日","38.78","38.68","38.78","38.53","12.00M","0.39%"
"2013年9月10日","38.63","38.77","38.78","38.51","11.76M","0.29%"
"2013年9月9日","38.52","38.52","38.55","38.27","10.61M","0.44%"
"2013年9月6日","38.35","38.38","38.62","38.10","13.98M","0.29%"
