"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","74.59","74.80","75.40","74.34","3.06M","-0.13%"
"2013年11月19日","74.69","75.45","75.75","74.50","3.14M","-1.01%"
"2013年11月18日","75.45","75.37","75.97","75.12","6.95M","0.29%"
"2013年11月15日","75.23","74.36","75.36","74.36","4.84M","1.18%"
"2013年11月14日","74.35","73.50","74.40","73.46","3.38M","1.09%"
"2013年11月13日","73.55","73.50","73.75","73.19","4.84M","-0.30%"
"2013年11月12日","73.77","73.95","74.07","73.15","4.52M","-0.47%"
"2013年11月11日","74.12","73.41","74.34","73.22","4.07M","0.91%"
"2013年11月8日","73.45","72.05","73.45","72.05","4.60M","1.83%"
"2013年11月7日","72.13","73.74","73.75","71.96","4.74M","-1.72%"
"2013年11月6日","73.39","73.80","73.84","73.01","4.88M","-0.34%"
"2013年11月5日","73.64","72.73","73.82","72.32","6.12M","1.10%"
"2013年11月4日","72.84","73.83","73.98","72.62","4.57M","-1.23%"
"2013年11月1日","73.75","72.39","73.92","72.32","8.31M","2.84%"
"2013年10月31日","71.71","73.00","73.46","70.74","10.22M","-1.19%"
"2013年10月30日","72.57","73.40","73.46","72.14","5.56M","-0.91%"
"2013年10月29日","73.24","73.34","73.78","72.75","4.66M","0.34%"
"2013年10月28日","72.99","72.40","73.16","72.14","4.42M","0.84%"
"2013年10月25日","72.38","72.50","73.25","72.01","4.64M","-0.12%"
"2013年10月24日","72.47","71.45","72.70","71.40","4.02M","1.93%"
"2013年10月23日","71.10","71.60","71.66","70.70","4.41M","-1.07%"
"2013年10月22日","71.87","72.18","72.74","71.66","4.31M","0.13%"
"2013年10月21日","71.78","71.70","71.99","70.92","4.80M","0.36%"
"2013年10月18日","71.52","70.70","71.64","70.11","5.96M","1.50%"
"2013年10月17日","70.46","69.27","70.50","69.26","5.42M","1.31%"
"2013年10月16日","69.55","68.95","69.96","68.78","5.44M","1.33%"
"2013年10月15日","68.64","68.72","69.32","68.27","9.16M","-0.39%"
"2013年10月14日","68.91","67.94","69.00","67.43","3.60M","0.72%"
"2013年10月11日","68.42","67.89","68.55","67.57","5.46M","0.83%"
"2013年10月10日","67.86","66.83","67.86","66.69","4.91M","3.26%"
"2013年10月9日","65.72","65.57","66.45","64.74","6.54M","0.50%"
"2013年10月8日","65.39","66.63","66.73","65.14","7.29M","-1.83%"
"2013年10月7日","66.61","66.78","67.10","66.52","5.29M","-1.07%"
"2013年10月4日","67.33","66.81","67.47","66.74","4.08M","0.63%"
"2013年10月3日","66.91","67.32","67.59","66.41","5.55M","-1.06%"
"2013年10月2日","67.63","67.54","67.64","67.13","4.63M","-0.22%"
"2013年10月1日","67.78","67.44","67.96","67.25","4.12M","0.74%"
"2013年9月30日","67.28","67.77","67.78","67.02","4.36M","-1.33%"
"2013年9月27日","68.19","67.74","68.26","67.51","3.14M","0.63%"
"2013年9月26日","67.76","67.52","67.98","67.25","3.81M","0.85%"
"2013年9月25日","67.19","68.37","68.60","67.17","8.80M","-1.97%"
"2013年9月24日","68.54","68.25","69.17","67.83","6.07M","0.35%"
"2013年9月23日","68.30","68.54","69.00","68.01","5.17M","-0.39%"
"2013年9月20日","68.57","68.97","68.97","68.25","6.73M","-0.10%"
"2013年9月19日","68.64","69.17","69.50","68.51","5.10M","-0.17%"
"2013年9月18日","68.76","67.90","68.85","67.64","4.67M","1.24%"
"2013年9月17日","67.92","67.33","68.08","67.15","4.81M","1.22%"
"2013年9月16日","67.10","67.38","67.50","66.86","7.06M","0.69%"
"2013年9月13日","66.64","66.68","66.98","66.47","6.09M","-0.16%"
"2013年9月12日","66.75","66.17","67.23","65.45","10.87M","1.37%"
"2013年9月11日","65.85","65.25","66.32","64.48","7.54M","1.07%"
"2013年9月10日","65.15","64.40","65.21","64.36","7.17M","1.73%"
"2013年9月9日","64.04","63.80","64.09","63.55","6.17M","0.60%"
"2013年9月6日","63.66","63.20","63.97","62.71","5.87M","1.21%"
"2013年9月5日","62.90","62.30","63.16","62.25","3.82M","0.90%"
"2013年9月4日","62.34","62.34","62.77","61.75","4.02M","0.00%"
"2013年9月3日","62.34","61.20","62.48","61.05","11.39M","2.85%"
"2013年8月30日","60.61","61.40","61.50","60.36","6.12M","-1.06%"
"2013年8月29日","61.26","61.05","61.84","61.05","5.06M","0.33%"
"2013年8月28日","61.06","60.59","61.32","60.54","6.41M","0.44%"
"2013年8月27日","60.79","60.82","61.26","60.59","5.53M","-1.19%"
"2013年8月26日","61.52","62.58","62.58","61.45","5.89M","-1.74%"
"2013年8月23日","62.61","62.20","62.66","61.80","4.61M","0.81%"
"2013年8月22日","62.11","62.30","62.30","61.69","3.93M","0.29%"
"2013年8月21日","61.93","61.96","62.76","61.80","9.31M","-0.50%"
"2013年8月20日","62.24","62.12","62.51","61.90","3.00M","0.40%"
"2013年8月19日","61.99","61.91","62.60","61.75","3.91M","0.27%"
"2013年8月16日","61.82","61.83","62.42","61.61","4.83M","-0.08%"
"2013年8月15日","61.87","62.39","62.48","61.56","5.33M","-1.79%"
"2013年8月14日","63.00","63.56","63.71","62.81","3.94M","-0.52%"
"2013年8月13日","63.33","63.68","63.68","63.02","3.25M","0.41%"
