"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","97.54","97.57","98.05","97.18","3.82M","-0.45%"
"2013年11月19日","97.98","97.52","98.29","97.36","3.84M","0.34%"
"2013年11月18日","97.65","96.90","97.79","96.90","4.97M","0.75%"
"2013年11月15日","96.92","97.45","97.71","96.40","7.10M","-0.66%"
"2013年11月14日","97.56","98.18","98.70","97.18","6.59M","-0.56%"
"2013年11月13日","98.11","97.47","98.12","97.31","4.16M","0.46%"
"2013年11月12日","97.66","97.07","97.76","96.85","3.85M","0.59%"
"2013年11月11日","97.09","96.83","97.49","96.80","2.57M","0.08%"
"2013年11月8日","97.01","97.17","97.30","96.32","5.05M","-0.20%"
"2013年11月7日","97.20","97.96","98.09","96.78","4.92M","-0.72%"
"2013年11月6日","97.90","97.66","98.19","97.47","4.37M","0.50%"
"2013年11月5日","97.41","97.38","97.75","97.02","4.34M","0.10%"
"2013年11月4日","97.31","97.26","97.50","96.83","5.02M","0.07%"
"2013年11月1日","97.24","96.52","97.50","96.52","5.13M","0.75%"
"2013年10月31日","96.52","96.20","96.70","96.11","4.27M","0.51%"
"2013年10月30日","96.03","96.17","96.45","95.73","3.41M","-0.02%"
"2013年10月29日","96.05","95.62","96.09","95.30","3.98M","0.71%"
"2013年10月28日","95.37","94.69","95.72","94.68","3.84M","0.62%"
"2013年10月25日","94.78","94.78","94.95","94.36","3.06M","0.11%"
"2013年10月24日","94.68","94.41","94.81","94.24","3.64M","0.50%"
"2013年10月23日","94.21","95.08","95.20","93.93","4.59M","-0.96%"
"2013年10月22日","95.12","94.68","95.49","94.21","5.14M","0.56%"
"2013年10月21日","94.59","93.70","94.85","93.24","9.14M","-0.64%"
"2013年10月18日","95.20","95.70","95.70","94.52","7.29M","-0.28%"
"2013年10月17日","95.47","95.19","95.52","94.65","3.87M","0.26%"
"2013年10月16日","95.22","94.30","95.24","94.14","4.71M","1.51%"
"2013年10月15日","93.80","93.99","94.20","93.45","5.88M","-0.97%"
"2013年10月14日","94.72","94.41","94.88","94.18","3.43M","-0.02%"
"2013年10月11日","94.74","94.69","94.80","94.33","4.13M","0.32%"
"2013年10月10日","94.44","94.22","94.44","93.50","4.53M","1.25%"
"2013年10月9日","93.27","93.82","93.96","93.14","5.17M","-0.71%"
