"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","18.44","18.70","18.93","18.40","9.38M","-0.70%"
"2013年11月19日","18.57","19.18","19.25","18.54","12.51M","-3.53%"
"2013年11月18日","19.25","19.51","19.67","19.17","7.19M","-1.03%"
"2013年11月15日","19.45","19.55","19.65","19.31","5.88M","-0.56%"
"2013年11月14日","19.56","19.79","19.82","19.50","5.85M","-0.71%"
"2013年11月13日","19.70","19.31","19.71","19.22","8.02M","2.28%"
"2013年11月12日","19.26","19.23","19.40","19.09","6.01M","0.31%"
"2013年11月11日","19.20","19.11","19.39","19.00","4.50M","0.58%"
"2013年11月8日","19.09","18.69","19.11","18.55","7.04M","2.74%"
"2013年11月7日","18.58","19.25","19.25","18.49","9.14M","-2.72%"
"2013年11月6日","19.10","19.19","19.41","19.00","6.30M","-0.26%"
"2013年11月5日","19.15","19.26","19.40","19.06","7.14M","-0.73%"
"2013年11月4日","19.29","19.46","19.54","19.21","7.36M","-0.05%"
"2013年11月1日","19.30","19.09","19.50","18.96","13.84M","1.37%"
"2013年10月31日","19.04","19.49","19.80","18.56","32.91M","-6.16%"
"2013年10月30日","20.29","20.39","20.60","20.00","11.38M","0.35%"
"2013年10月29日","20.22","19.99","20.24","19.74","6.86M","1.35%"
"2013年10月28日","19.95","20.35","20.35","19.75","10.05M","-1.77%"
"2013年10月25日","20.31","20.70","20.72","20.16","9.06M","-1.60%"
"2013年10月24日","20.64","20.17","20.71","20.14","8.13M","2.89%"
"2013年10月23日","20.06","20.48","20.50","20.05","7.05M","-2.48%"
"2013年10月22日","20.57","20.76","20.89","20.24","9.89M","-0.96%"
"2013年10月21日","20.77","20.69","20.90","20.63","7.93M","0.39%"
"2013年10月18日","20.69","20.91","20.98","20.60","10.61M","-0.43%"
"2013年10月17日","20.78","20.69","20.80","20.51","5.65M","0.43%"
"2013年10月16日","20.69","20.76","20.90","20.60","9.21M","0.63%"
"2013年10月15日","20.56","20.69","20.90","20.42","10.49M","-0.15%"
"2013年10月14日","20.59","20.34","20.70","20.25","9.08M","0.64%"
"2013年10月11日","20.46","20.43","20.80","20.31","10.39M","0.59%"
"2013年10月10日","20.34","20.35","20.61","20.21","8.15M","1.55%"
"2013年10月9日","20.03","20.08","20.36","19.40","11.76M","0.45%"
"2013年10月8日","19.94","20.36","20.61","19.58","14.13M","-2.16%"
"2013年10月7日","20.38","20.39","20.76","20.30","5.30M","-1.02%"
"2013年10月4日","20.59","20.65","20.83","20.56","5.33M","0.05%"
"2013年10月3日","20.58","20.81","20.90","20.21","7.72M","-0.58%"
"2013年10月2日","20.70","20.59","20.81","20.51","5.33M","-0.19%"
"2013年10月1日","20.74","20.54","20.82","20.45","6.50M","1.47%"
"2013年9月30日","20.44","19.97","20.62","19.53","9.83M","1.09%"
"2013年9月27日","20.22","20.22","20.24","19.99","6.13M","-0.25%"
"2013年9月26日","20.27","20.22","20.41","20.16","5.12M","0.35%"
"2013年9月25日","20.20","20.14","20.32","20.03","7.04M","0.30%"
"2013年9月24日","20.14","19.90","20.41","19.75","7.75M","1.41%"
"2013年9月23日","19.86","19.94","20.03","19.51","7.39M","-0.30%"
"2013年9月20日","19.92","20.13","20.16","19.87","10.27M","-1.29%"
"2013年9月19日","20.18","19.92","20.30","19.83","12.90M","2.07%"
"2013年9月18日","19.77","19.78","19.88","19.37","9.60M","1.13%"
"2013年9月17日","19.55","19.31","19.60","19.22","5.21M","1.30%"
"2013年9月16日","19.30","19.66","19.80","19.22","8.95M","0.05%"
"2013年9月13日","19.29","19.10","19.35","18.93","8.68M","2.23%"
"2013年9月12日","18.87","19.15","19.22","18.70","6.33M","-1.20%"
"2013年9月11日","19.10","19.09","19.17","18.83","8.27M","0.32%"
"2013年9月10日","19.04","18.96","19.07","18.90","7.06M","1.60%"
"2013年9月9日","18.74","18.56","18.89","18.55","8.69M","1.74%"
"2013年9月6日","18.42","18.40","18.62","18.15","8.50M","0.71%"
"2013年9月5日","18.29","18.25","18.52","18.25","8.47M","0.22%"
"2013年9月4日","18.25","17.96","18.56","17.95","11.26M","1.56%"
"2013年9月3日","17.97","17.91","18.07","17.86","7.80M","1.58%"
"2013年8月30日","17.69","17.90","17.95","17.57","6.67M","-0.51%"
"2013年8月29日","17.78","17.72","17.95","17.69","5.21M","0.57%"
"2013年8月28日","17.68","17.51","17.75","17.30","8.07M","1.84%"
"2013年8月27日","17.36","17.83","17.98","17.32","10.68M","-4.35%"
"2013年8月26日","18.15","17.99","18.54","17.99","8.64M","0.83%"
"2013年8月23日","18.00","17.87","18.01","17.76","7.41M","1.01%"
"2013年8月22日","17.82","17.59","17.85","17.50","9.54M","2.06%"
"2013年8月21日","17.46","17.24","17.56","17.19","9.48M","1.28%"
"2013年8月20日","17.24","17.16","17.32","17.04","6.32M","0.23%"
"2013年8月19日","17.20","17.18","17.60","17.08","6.23M","0.06%"
"2013年8月16日","17.19","17.10","17.28","17.08","6.12M","0.29%"
"2013年8月15日","17.14","17.23","17.25","16.97","6.75M","-1.27%"
"2013年8月14日","17.36","17.30","17.48","17.23","6.24M","-0.06%"
"2013年8月13日","17.37","17.36","17.45","17.11","7.16M","0.81%"
"2013年8月12日","17.23","17.19","17.44","17.08","4.61M","-0.12%"
"2013年8月9日","17.25","17.45","17.49","17.01","7.23M","-1.37%"
"2013年8月8日","17.49","17.39","17.57","17.32","10.48M","1.22%"
"2013年8月7日","17.28","16.95","17.49","16.86","15.10M","2.19%"
"2013年8月6日","16.91","17.54","17.67","16.75","23.54M","2.18%"
"2013年8月5日","16.55","16.39","16.56","16.27","9.46M","0.61%"
"2013年8月2日","16.45","16.72","16.75","16.31","11.67M","-2.37%"
"2013年8月1日","16.85","16.46","16.99","16.46","9.68M","3.31%"
"2013年7月31日","16.31","16.42","16.52","16.28","7.78M","-0.24%"
"2013年7月30日","16.35","16.07","16.52","16.03","7.80M","2.44%"
"2013年7月29日","15.96","15.96","16.14","15.87","4.07M","0.13%"
"2013年7月26日","15.94","15.70","16.00","15.62","5.18M","0.69%"
"2013年7月25日","15.83","16.01","16.14","15.61","10.96M","-1.49%"
"2013年7月24日","16.07","16.30","16.50","15.98","6.28M","-0.31%"
"2013年7月23日","16.12","16.20","16.45","16.10","5.59M","-0.25%"
"2013年7月22日","16.16","16.05","16.24","15.96","4.33M","-0.12%"
"2013年7月19日","16.18","16.16","16.25","15.98","5.96M","0.00%"
"2013年7月18日","16.18","15.71","16.25","15.71","9.54M","3.12%"
"2013年7月17日","15.69","15.72","15.78","15.60","6.47M","-0.06%"
"2013年7月16日","15.70","15.76","15.91","15.56","6.20M","-0.13%"
"2013年7月15日","15.72","15.32","15.80","15.23","9.88M","3.01%"
"2013年7月12日","15.26","15.28","15.50","15.21","7.01M","0.00%"
"2013年7月11日","15.26","15.64","15.67","15.05","16.90M","-0.59%"
"2013年7月10日","15.35","15.47","15.50","15.21","7.36M","-0.58%"
"2013年7月9日","15.44","15.74","15.74","15.35","8.32M","-0.83%"
"2013年7月8日","15.57","15.52","15.90","15.46","10.98M","1.30%"
"2013年7月5日","15.37","15.10","15.49","15.02","9.15M","2.95%"
"2013年7月3日","14.93","14.77","14.99","14.65","2.73M","0.40%"
"2013年7月2日","14.87","15.05","15.29","14.80","8.79M","-1.39%"
"2013年7月1日","15.08","15.05","15.28","15.03","9.22M","2.03%"
"2013年6月28日","14.78","14.41","14.88","14.40","9.29M","2.14%"
"2013年6月27日","14.47","14.54","14.69","14.42","5.89M","1.05%"
"2013年6月26日","14.32","14.16","14.65","14.14","17.11M","4.53%"
"2013年6月25日","13.70","13.48","13.87","13.48","8.90M","3.40%"
"2013年6月24日","13.25","13.54","13.54","12.87","17.16M","-4.06%"
"2013年6月21日","13.81","14.18","14.25","13.60","10.69M","-1.78%"
"2013年6月20日","14.06","14.80","14.80","13.96","16.20M","-6.20%"
"2013年6月19日","14.99","15.06","15.24","14.92","7.14M","-0.73%"
"2013年6月18日","15.10","14.98","15.19","14.96","6.47M","1.07%"
"2013年6月17日","14.94","14.80","15.14","14.80","7.80M","1.29%"
"2013年6月14日","14.75","14.90","15.06","14.71","5.75M","-1.40%"
"2013年6月13日","14.96","14.69","15.00","14.51","8.08M","1.36%"
"2013年6月12日","14.76","14.96","15.06","14.68","8.30M","-0.20%"
"2013年6月11日","14.79","14.92","14.96","14.72","5.93M","-2.57%"
"2013年6月10日","15.18","15.03","15.37","14.96","7.43M","1.54%"
"2013年6月7日","14.95","14.71","15.03","14.60","7.16M","2.54%"
