"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年1月18日","27.25","27.10","27.29","27.04","52.17M","0.00%"
"2013年1月17日","27.25","27.19","27.47","27.06","51.69M","0.78%"
"2013年1月16日","27.04","27.15","27.23","27.01","41.08M","-0.62%"
"2013年1月15日","27.21","26.83","27.29","26.82","48.24M","1.19%"
"2013年1月14日","26.89","26.90","27.08","26.76","48.32M","0.22%"
"2013年1月11日","26.83","26.49","26.93","26.28","55.52M","1.40%"
"2013年1月10日","26.46","26.65","26.98","26.29","71.43M","-0.90%"
"2013年1月9日","26.70","26.72","26.75","26.56","49.05M","0.56%"
"2013年1月8日","26.55","26.75","26.79","26.46","44.70M","-0.52%"
"2013年1月7日","26.69","26.77","26.88","26.64","37.12M","-0.19%"
"2013年1月4日","26.74","27.27","27.34","26.73","52.52M","-1.87%"
"2013年1月3日","27.25","27.63","27.65","27.16","48.30M","-1.34%"
"2013年1月2日","27.62","27.25","27.73","27.15","52.91M","3.41%"
"2012年12月31日","26.71","26.59","26.77","26.37","42.76M","0.60%"
"2012年12月28日","26.55","26.71","26.90","26.55","28.25M","-1.52%"
"2012年12月27日","26.96","26.89","27.09","26.57","39.39M","0.37%"
"2012年12月26日","26.86","27.03","27.20","26.70","31.64M","-0.74%"
"2012年12月24日","27.06","27.20","27.25","27.00","20.84M","-1.42%"
"2012年12月21日","27.45","27.45","27.49","27.00","98.78M","-0.83%"
"2012年12月20日","27.68","27.36","27.68","27.15","52.61M","1.35%"
"2012年12月19日","27.31","27.69","27.73","27.25","53.52M","-0.91%"
"2012年12月18日","27.56","27.25","27.63","27.14","50.49M","1.73%"
"2012年12月17日","27.09","26.79","27.21","26.68","42.05M","1.04%"
"2012年12月14日","26.81","27.11","27.13","26.70","42.08M","-1.11%"
"2012年12月13日","27.11","27.32","27.52","26.95","45.08M","-0.48%"
"2012年12月12日","27.24","27.53","27.62","27.08","43.97M","-0.29%"
"2012年12月11日","27.32","27.05","27.49","27.05","52.29M","1.41%"
