"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","84.69","84.31","84.98","84.24","7.68M","0.41%"
"2013年11月19日","84.34","84.31","84.59","84.21","7.92M","-0.27%"
"2013年11月18日","84.57","84.79","84.94","84.18","8.51M","-0.32%"
"2013年11月15日","84.84","84.17","84.92","84.16","9.67M","0.62%"
"2013年11月14日","84.32","83.43","84.46","83.42","7.59M","0.98%"
"2013年11月13日","83.50","82.57","83.50","82.46","7.58M","0.85%"
"2013年11月12日","82.80","82.23","83.04","82.12","8.20M","0.66%"
"2013年11月11日","82.26","82.35","82.68","82.02","6.17M","-0.30%"
"2013年11月8日","82.51","82.28","82.57","81.67","9.77M","0.23%"
"2013年11月7日","82.32","82.91","83.10","82.11","10.09M","-0.59%"
"2013年11月6日","82.81","81.64","83.10","81.33","9.53M","1.69%"
"2013年11月5日","81.43","81.13","81.74","80.85","4.96M","0.12%"
"2013年11月4日","81.33","81.46","81.73","80.91","5.46M","0.22%"
"2013年11月1日","81.15","80.68","81.33","80.64","6.80M","0.50%"
"2013年10月31日","80.75","81.20","81.60","80.72","7.79M","-0.94%"
"2013年10月30日","81.52","82.53","82.56","81.23","6.49M","-1.14%"
"2013年10月29日","82.46","81.46","82.62","81.10","9.49M","1.43%"
"2013年10月28日","81.30","80.11","81.86","79.95","9.82M","1.63%"
"2013年10月25日","80.00","80.55","80.72","79.51","9.61M","-0.76%"
"2013年10月24日","80.61","80.77","80.95","80.25","7.52M","-0.37%"
"2013年10月23日","80.91","80.34","81.25","80.25","8.96M","0.66%"
"2013年10月22日","80.38","79.31","80.61","79.28","9.57M","1.79%"
"2013年10月21日","78.97","79.27","79.32","78.44","6.48M","-0.55%"
"2013年10月18日","79.41","79.39","79.57","78.78","7.96M","-0.01%"
"2013年10月17日","79.42","78.19","79.47","77.98","8.68M","1.38%"
"2013年10月16日","78.34","77.35","78.49","77.26","6.56M","0.95%"
"2013年10月15日","77.60","78.38","78.61","77.44","11.20M","-1.45%"
"2013年10月14日","78.74","78.01","78.80","77.93","6.33M","0.33%"
"2013年10月11日","78.48","78.00","78.49","77.81","6.08M","0.76%"
"2013年10月10日","77.89","77.41","77.92","77.15","10.12M","1.22%"
"2013年10月9日","76.95","76.58","77.16","76.10","8.47M","0.81%"
"2013年10月8日","76.33","76.39","77.00","76.05","9.66M","0.90%"
"2013年10月7日","75.65","75.66","76.10","75.48","6.37M","-0.49%"
"2013年10月4日","76.02","75.98","76.12","75.51","4.98M","0.24%"
"2013年10月3日","75.84","75.89","76.14","75.20","9.25M","-0.12%"
"2013年10月2日","75.93","75.91","76.14","75.42","8.52M","-0.30%"
"2013年10月1日","76.16","75.52","76.50","75.44","8.08M","0.75%"
"2013年9月30日","75.59","76.80","77.16","75.35","15.03M","-2.10%"
"2013年9月27日","77.21","77.75","77.75","76.77","6.56M","-1.08%"
"2013年9月26日","78.05","77.91","78.14","77.62","4.63M","0.42%"
"2013年9月25日","77.72","78.84","79.00","77.71","7.59M","-1.14%"
"2013年9月24日","78.62","78.97","79.48","78.59","7.69M","-0.83%"
"2013年9月23日","79.28","79.20","79.58","78.67","6.31M","-0.14%"
"2013年9月20日","79.39","80.09","80.18","79.39","11.17M","-0.91%"
"2013年9月19日","80.12","80.50","80.53","79.78","8.16M","-0.22%"
"2013年9月18日","80.30","79.06","80.48","78.53","10.37M","0.59%"
"2013年9月17日","79.83","79.96","80.25","79.64","5.46M","-0.41%"
"2013年9月16日","80.16","79.72","80.21","79.71","7.56M","1.40%"
"2013年9月13日","79.05","78.44","79.18","78.41","4.89M","1.01%"
"2013年9月12日","78.26","78.40","78.80","78.17","6.94M","-0.01%"
"2013年9月11日","78.27","77.26","78.27","77.25","7.05M","0.41%"
"2013年9月10日","77.95","78.50","78.64","77.78","6.65M","-0.27%"
"2013年9月9日","78.16","77.37","78.20","77.37","6.09M","1.31%"
"2013年9月6日","77.15","77.12","77.61","76.40","6.98M","0.01%"
"2013年9月5日","77.14","77.58","77.63","76.83","7.17M","-0.45%"
"2013年9月4日","77.49","77.52","77.75","77.12","6.03M","-0.33%"
"2013年9月3日","77.75","78.27","78.42","77.44","6.74M","-0.18%"
"2013年8月30日","77.89","77.53","78.07","73.61","9.04M","0.75%"
"2013年8月29日","77.31","76.76","77.84","76.42","5.96M","0.60%"
"2013年8月28日","76.85","77.86","77.86","76.85","9.01M","-1.44%"
"2013年8月27日","77.97","77.87","78.36","77.33","7.05M","-0.73%"
"2013年8月26日","78.54","79.92","79.98","78.53","6.39M","-1.84%"
"2013年8月23日","80.01","79.87","80.07","79.59","5.23M","0.30%"
"2013年8月22日","79.77","79.30","80.05","78.87","6.27M","0.49%"
"2013年8月21日","79.38","79.50","80.12","79.05","7.39M","-0.19%"
"2013年8月20日","79.53","79.72","80.10","79.28","5.17M","-0.08%"
"2013年8月19日","79.59","79.64","80.09","79.42","5.96M","-0.39%"
"2013年8月16日","79.90","80.27","80.48","79.06","9.45M","-0.72%"
"2013年8月15日","80.48","80.96","81.08","80.17","7.42M","-0.95%"
"2013年8月14日","81.25","81.67","81.78","81.19","5.17M","-0.50%"
"2013年8月13日","81.66","81.78","81.99","81.33","4.94M","0.05%"
"2013年8月12日","81.62","81.23","81.73","81.04","4.92M","-0.02%"
"2013年8月9日","81.64","81.92","82.06","81.19","6.13M","-0.65%"
"2013年8月8日","82.17","82.11","82.40","81.51","6.21M","0.26%"
"2013年8月7日","81.96","81.41","82.21","81.38","5.83M","0.27%"
"2013年8月6日","81.74","81.30","81.97","81.30","6.21M","0.42%"
"2013年8月5日","81.40","81.05","81.65","80.96","4.66M","0.14%"
"2013年8月2日","81.29","81.42","81.50","80.56","6.63M","-0.43%"
"2013年8月1日","81.64","81.62","82.23","81.21","10.72M","1.67%"
"2013年7月31日","80.30","80.44","81.41","80.16","11.86M","-0.17%"
"2013年7月30日","80.44","80.49","80.90","80.16","6.43M","0.44%"
"2013年7月29日","80.09","80.10","80.45","80.05","4.39M","-0.37%"
"2013年7月26日","80.39","80.02","80.42","79.39","6.54M","-0.02%"
"2013年7月25日","80.41","80.01","80.57","79.84","6.24M","0.17%"
"2013年7月24日","80.27","80.95","81.00","80.13","5.61M","-0.84%"
"2013年7月23日","80.95","81.22","81.40","80.78","4.31M","-0.33%"
"2013年7月22日","81.22","81.23","81.45","80.90","4.81M","-0.18%"
"2013年7月19日","81.37","80.36","81.41","80.05","7.86M","1.33%"
"2013年7月18日","80.30","80.03","80.75","80.03","5.53M","0.26%"
"2013年7月17日","80.09","80.49","80.85","80.01","7.65M","-1.09%"
"2013年7月16日","80.97","81.32","81.37","80.91","11.21M","-0.66%"
"2013年7月15日","81.51","81.37","81.59","80.84","10.03M","-0.05%"
"2013年7月12日","81.55","80.67","81.64","80.67","12.59M","0.97%"
"2013年7月11日","80.77","80.55","80.99","80.29","9.19M","1.22%"
"2013年7月10日","79.80","79.65","80.10","79.30","6.86M","0.29%"
"2013年7月9日","79.57","79.07","79.90","79.07","11.46M","1.03%"
"2013年7月8日","78.76","78.54","79.08","78.50","11.15M","0.54%"
"2013年7月5日","78.34","78.89","79.02","77.78","7.27M","-0.29%"
"2013年7月3日","78.57","78.28","78.75","77.43","5.35M","0.17%"
"2013年7月2日","78.44","77.95","78.61","77.71","10.23M","0.54%"
"2013年7月1日","78.02","77.02","78.45","77.00","6.70M","1.34%"
"2013年6月28日","76.99","77.62","77.94","76.90","9.87M","-0.88%"
"2013年6月27日","77.67","77.96","78.38","77.57","14.73M","0.35%"
"2013年6月26日","77.40","77.23","77.59","77.02","7.33M","0.93%"
