"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月20日","78.90","79.31","79.39","78.49","4.51M","-0.44%"
"2013年11月19日","79.25","79.30","79.35","78.88","4.46M","0.04%"
"2013年11月18日","79.22","79.23","79.32","78.91","5.96M","0.00%"
"2013年11月15日","79.22","78.93","79.29","78.75","5.92M","0.18%"
"2013年11月14日","79.08","77.75","79.53","77.68","9.31M","0.23%"
"2013年11月13日","78.90","78.42","78.99","78.35","8.29M","0.24%"
"2013年11月12日","78.71","78.85","78.97","78.25","5.27M","-0.38%"
"2013年11月11日","79.01","77.86","79.07","77.79","7.45M","1.35%"
"2013年11月8日","77.96","77.49","77.96","76.79","5.79M","0.58%"
"2013年11月7日","77.51","78.19","78.22","77.24","8.35M","-0.83%"
"2013年11月6日","78.16","77.64","78.28","77.30","4.83M","0.96%"
"2013年11月5日","77.42","76.81","77.61","76.72","5.09M","0.12%"
"2013年11月4日","77.33","77.22","77.65","77.20","4.70M","0.34%"
"2013年11月1日","77.07","76.97","77.40","76.59","5.12M","0.42%"
"2013年10月31日","76.75","76.88","77.15","76.60","4.61M","-0.21%"
"2013年10月30日","76.91","77.27","77.53","76.56","4.65M","-0.19%"
"2013年10月29日","77.06","77.25","77.63","76.75","7.44M","-0.10%"
"2013年10月28日","77.14","76.16","77.21","76.05","7.03M","1.39%"
"2013年10月25日","76.08","76.37","76.76","75.78","6.46M","-0.44%"
"2013年10月24日","76.42","76.03","76.51","75.82","5.86M","0.69%"
"2013年10月23日","75.90","76.18","76.35","75.81","5.87M","-0.55%"
"2013年10月22日","76.32","75.43","76.49","75.21","6.95M","1.56%"
"2013年10月21日","75.15","75.72","75.82","74.82","5.36M","-0.74%"
"2013年10月18日","75.71","75.80","75.93","75.48","6.79M","-0.09%"
"2013年10月17日","75.78","75.49","76.12","71.69","6.40M","0.24%"
"2013年10月16日","75.60","74.81","75.62","74.57","5.91M","1.65%"
"2013年10月15日","74.37","74.43","75.37","73.99","8.99M","-0.42%"
"2013年10月14日","74.68","74.34","74.71","73.75","5.90M","-0.19%"
"2013年10月11日","74.82","74.61","74.83","73.83","6.53M","0.04%"
"2013年10月10日","74.79","73.48","74.87","73.27","7.68M","2.45%"
"2013年10月9日","73.00","72.83","73.34","72.57","6.47M","0.14%"
"2013年10月8日","72.90","71.85","73.19","71.80","9.22M","1.43%"
"2013年10月7日","71.87","72.42","72.42","71.51","6.89M","-1.28%"
"2013年10月4日","72.80","73.01","73.38","72.79","5.75M","-0.49%"
"2013年10月3日","73.16","73.53","73.53","72.95","7.18M","-0.76%"
"2013年10月2日","73.72","73.39","73.72","73.04","7.38M","0.18%"
"2013年10月1日","73.59","73.87","73.89","73.32","5.68M","-0.50%"
"2013年9月30日","73.96","74.28","74.60","73.74","6.75M","-0.54%"
"2013年9月27日","74.36","74.38","74.46","74.07","4.22M","-0.35%"
"2013年9月26日","74.62","74.78","74.98","74.22","5.08M","-0.04%"
"2013年9月25日","74.65","75.91","75.94","73.56","15.00M","-1.45%"
"2013年9月24日","75.75","76.40","76.73","75.69","6.87M","-0.88%"
"2013年9月23日","76.42","75.39","76.43","75.20","5.60M","0.78%"
"2013年9月20日","75.83","76.32","76.45","75.83","8.86M","-0.50%"
"2013年9月19日","76.21","76.50","76.53","75.62","7.11M","-0.27%"
"2013年9月18日","76.42","75.16","76.53","74.90","6.92M","1.69%"
"2013年9月17日","75.15","74.84","75.47","74.79","4.29M","0.49%"
"2013年9月16日","74.78","74.90","75.19","74.69","4.21M","0.56%"
"2013年9月13日","74.36","74.13","74.40","73.98","4.02M","0.61%"
"2013年9月12日","73.91","74.18","74.52","73.77","5.26M","-0.19%"
"2013年9月11日","74.05","74.00","74.24","73.66","5.34M","0.12%"
"2013年9月10日","73.96","73.66","74.21","73.57","6.85M","0.61%"
"2013年9月9日","73.51","72.85","73.65","72.70","5.53M","1.27%"
"2013年9月6日","72.59","72.70","73.16","72.19","5.79M","-0.11%"
"2013年9月5日","72.67","72.84","73.48","72.62","4.68M","-0.33%"
"2013年9月4日","72.91","72.70","73.12","72.45","4.67M","0.32%"
"2013年9月3日","72.68","73.48","73.58","72.54","7.16M","-0.41%"
"2013年8月30日","72.98","72.64","73.07","72.58","6.07M","0.76%"
"2013年8月29日","72.43","72.35","72.88","72.23","4.09M","0.07%"
"2013年8月28日","72.38","72.66","72.86","72.27","5.61M","-0.66%"
"2013年8月27日","72.86","72.68","73.11","72.51","5.79M","-0.23%"
"2013年8月26日","73.03","73.64","73.75","73.03","5.36M","-0.56%"
"2013年8月23日","73.44","73.65","73.75","73.03","5.48M","-0.03%"
"2013年8月22日","73.46","73.81","74.03","73.24","3.95M","-0.12%"
"2013年8月21日","73.55","73.16","74.13","72.93","8.08M","0.44%"
"2013年8月20日","73.23","73.55","73.62","73.20","6.66M","-0.48%"
"2013年8月19日","73.58","73.88","73.93","73.21","5.36M","-0.72%"
"2013年8月16日","74.11","74.12","74.50","73.70","7.25M","-0.40%"
"2013年8月15日","74.41","74.46","75.08","74.03","13.22M","-2.60%"
"2013年8月14日","76.40","76.81","77.22","76.23","6.82M","-0.60%"
"2013年8月13日","76.86","77.17","77.25","76.22","6.38M","-0.29%"
"2013年8月12日","77.08","76.56","77.39","76.49","5.79M","0.23%"
"2013年8月9日","76.90","77.21","77.32","76.77","5.77M","-0.45%"
"2013年8月8日","77.25","77.51","77.89","76.93","4.47M","-0.16%"
"2013年8月7日","77.37","77.16","77.63","76.62","5.82M","-0.64%"
"2013年8月6日","77.87","78.56","78.57","77.56","6.70M","-1.14%"
"2013年8月5日","78.77","78.62","79.00","78.43","3.91M","0.03%"
"2013年8月2日","78.75","78.25","78.75","78.00","6.13M","0.68%"
"2013年8月1日","78.22","78.42","78.67","78.11","5.17M","0.36%"
"2013年7月31日","77.94","77.92","78.48","77.73","6.04M","0.06%"
"2013年7月30日","77.89","78.21","78.36","77.69","4.53M","-0.13%"
"2013年7月29日","77.99","77.83","78.25","77.78","3.47M","-0.01%"
"2013年7月26日","78.00","77.93","78.03","77.10","5.35M","-0.01%"
"2013年7月25日","78.01","78.05","78.46","77.63","5.92M","-0.28%"
"2013年7月24日","78.23","78.68","78.69","77.72","4.93M","-0.41%"
"2013年7月23日","78.55","77.96","78.63","77.80","5.25M","0.87%"
"2013年7月22日","77.87","77.89","78.25","77.73","4.16M","-0.27%"
"2013年7月19日","78.08","77.45","78.17","77.34","6.83M","0.96%"
"2013年7月18日","77.34","77.22","77.55","77.01","4.15M","0.18%"
"2013年7月17日","77.20","77.62","77.79","77.09","5.35M","-0.22%"
"2013年7月16日","77.37","76.98","77.45","76.90","4.71M","0.44%"
"2013年7月15日","77.03","77.30","77.30","76.70","4.89M","-0.77%"
"2013年7月12日","77.63","77.61","77.67","77.33","4.46M","0.00%"
"2013年7月11日","77.63","77.45","77.75","77.33","4.68M","1.12%"
"2013年7月10日","76.77","76.96","77.50","76.45","5.14M","-0.34%"
"2013年7月9日","77.03","76.96","77.44","76.74","5.27M","0.42%"
"2013年7月8日","76.71","75.68","76.77","75.68","6.72M","1.99%"
"2013年7月5日","75.21","75.15","75.26","74.41","5.45M","0.60%"
"2013年7月3日","74.76","74.41","75.12","74.09","2.33M","0.07%"
"2013年7月2日","74.71","74.31","75.68","74.21","6.73M","0.16%"
"2013年7月1日","74.59","74.99","75.28","74.10","6.70M","0.13%"
"2013年6月28日","74.49","75.11","75.66","74.45","14.56M","-1.02%"
"2013年6月27日","75.26","75.48","76.11","75.24","7.09M","0.33%"
"2013年6月26日","75.01","74.62","75.18","74.54","5.48M","0.86%"
"2013年6月25日","74.37","74.27","74.75","73.84","7.22M","0.23%"
"2013年6月24日","74.20","73.05","74.79","72.90","9.70M","0.94%"
"2013年6月21日","73.51","73.52","74.20","73.25","14.58M","0.66%"
"2013年6月20日","73.03","74.50","74.66","73.01","9.07M","-1.92%"
"2013年6月19日","74.46","75.74","75.96","74.34","8.33M","-1.68%"
"2013年6月18日","75.73","75.00","75.88","74.80","6.74M","1.04%"
"2013年6月17日","74.95","75.00","75.44","74.51","6.48M","0.11%"
"2013年6月14日","74.87","74.84","75.27","74.80","6.35M","-0.17%"
"2013年6月13日","75.00","74.78","75.33","74.56","7.24M","0.21%"
"2013年6月12日","74.84","75.47","75.71","74.65","4.73M","-0.54%"
"2013年6月11日","75.25","75.42","75.83","74.99","6.01M","-0.66%"
"2013年6月10日","75.75","76.28","76.65","75.66","6.73M","-0.76%"
"2013年6月7日","76.33","76.38","76.87","76.19","8.35M","0.93%"
"2013年6月6日","75.63","75.27","75.73","74.83","9.43M","0.50%"
"2013年6月5日","75.25","75.72","75.95","75.07","6.78M","-0.91%"
"2013年6月4日","75.94","75.77","76.38","75.47","9.34M","0.33%"
"2013年6月3日","75.69","75.06","75.80","74.64","8.44M","1.14%"
"2013年5月31日","74.84","75.36","75.63","74.82","9.75M","-1.04%"
"2013年5月30日","75.63","76.49","76.54","75.61","6.23M","-0.79%"
"2013年5月29日","76.23","77.05","77.05","76.06","5.88M","-1.41%"
"2013年5月28日","77.32","77.52","78.04","77.06","6.06M","0.01%"
"2013年5月24日","77.31","76.32","77.41","76.15","7.59M","1.28%"
"2013年5月23日","76.33","76.83","76.94","76.25","8.05M","-0.91%"
"2013年5月22日","77.03","77.19","77.80","76.75","9.03M","-0.47%"
"2013年5月21日","77.39","77.62","78.18","77.25","7.48M","-0.01%"
"2013年5月20日","77.40","77.88","77.90","77.36","5.58M","-0.60%"
"2013年5月17日","77.87","78.30","78.59","77.40","10.67M","-0.80%"
"2013年5月16日","78.50","78.10","78.86","77.34","12.13M","-1.70%"
"2013年5月15日","79.86","78.80","79.96","78.65","8.00M","1.37%"
"2013年5月14日","78.78","77.98","78.86","77.67","10.02M","0.36%"
"2013年5月13日","78.50","78.80","78.94","77.92","7.71M","-0.49%"
"2013年5月10日","78.89","78.47","78.91","78.28","5.83M","0.62%"
"2013年5月9日","78.40","78.31","78.96","77.90","6.52M","0.19%"
"2013年5月8日","78.25","78.56","78.66","77.78","8.01M","-0.74%"
"2013年5月7日","78.83","79.10","79.14","78.77","6.57M","0.00%"
"2013年5月6日","78.83","79.10","79.16","78.77","4.81M","-0.53%"
"2013年5月3日","79.25","78.92","79.34","78.90","5.61M","1.01%"
"2013年5月2日","78.46","77.91","78.49","77.80","4.52M","0.51%"
"2013年5月1日","78.06","77.85","78.66","77.69","6.26M","0.44%"
"2013年4月30日","77.72","78.28","78.30","77.37","7.97M","-0.85%"
"2013年4月29日","78.39","79.08","79.25","78.15","6.16M","-0.82%"
"2013年4月26日","79.04","78.58","79.15","78.57","5.92M","0.50%"
"2013年4月25日","78.65","78.18","78.83","77.88","5.73M","0.79%"
"2013年4月24日","78.03","79.23","79.50","77.92","8.08M","-1.34%"
"2013年4月23日","79.09","78.11","79.22","78.05","6.66M","1.44%"
"2013年4月22日","77.97","78.29","78.44","77.50","5.16M","-0.41%"
"2013年4月19日","78.29","77.50","78.44","77.40","7.84M","1.46%"
"2013年4月18日","77.16","78.76","79.05","76.61","14.22M","-1.72%"
"2013年4月17日","78.51","78.53","79.07","78.11","7.25M","-0.22%"
"2013年4月16日","78.68","78.23","78.86","78.03","6.85M","0.27%"
"2013年4月15日","78.47","78.44","79.28","78.43","8.56M","-0.11%"
"2013年4月12日","78.56","77.63","78.85","77.58","6.34M","0.99%"
"2013年4月11日","77.79","77.36","78.37","77.27","7.13M","0.54%"
"2013年4月10日","77.37","78.28","78.38","77.37","8.60M","-0.96%"
"2013年4月9日","78.12","77.24","78.46","77.02","8.67M","1.07%"
"2013年4月8日","77.29","76.10","77.44","75.83","8.08M","1.18%"
"2013年4月5日","76.39","75.55","76.41","75.43","5.88M","0.25%"
"2013年4月4日","76.20","75.96","76.58","75.96","7.51M","0.26%"
"2013年4月3日","76.00","76.31","76.68","75.72","7.45M","-0.03%"
"2013年4月2日","76.02","75.55","76.05","75.42","6.64M","0.78%"
"2013年4月1日","75.43","75.00","75.93","74.90","8.42M","0.80%"
"2013年3月28日","74.83","74.84","74.97","74.38","7.37M","0.07%"
"2013年3月27日","74.78","74.31","74.97","74.24","5.97M","0.01%"
"2013年3月26日","74.77","74.93","75.09","74.43","6.64M","-0.11%"
"2013年3月25日","74.85","74.14","75.11","74.12","10.44M","0.77%"
"2013年3月22日","74.28","73.35","74.29","73.29","7.33M","1.57%"
"2013年3月21日","73.13","72.87","73.47","72.85","5.51M","0.19%"
"2013年3月20日","72.99","72.81","73.38","72.74","6.32M","0.75%"
"2013年3月19日","72.45","72.42","72.87","72.19","5.75M","0.28%"
"2013年3月18日","72.25","72.29","72.73","72.01","5.77M","-0.34%"
"2013年3月15日","72.50","73.01","73.50","72.44","17.21M","-0.98%"
"2013年3月14日","73.22","73.87","74.00","73.13","6.35M","-0.58%"
"2013年3月13日","73.65","73.89","74.20","73.54","5.33M","0.07%"
"2013年3月12日","73.60","72.95","73.90","72.84","8.16M","0.85%"
"2013年3月11日","72.98","73.09","73.24","72.81","5.15M","-0.07%"
"2013年3月8日","73.03","73.30","73.39","72.84","5.74M","-0.40%"
"2013年3月7日","73.32","73.49","73.61","73.20","6.69M","-0.08%"
"2013年3月6日","73.38","73.75","74.13","73.25","7.15M","-0.46%"
"2013年3月5日","73.72","73.47","74.04","72.99","9.14M","0.63%"
"2013年3月4日","73.26","71.52","73.26","71.51","10.57M","2.12%"
"2013年3月1日","71.74","70.78","71.90","70.78","8.90M","1.36%"
"2013年2月28日","70.78","71.59","71.88","70.78","18.89M","-1.23%"
"2013年2月27日","71.66","70.92","71.95","70.58","8.82M","0.77%"
"2013年2月26日","71.11","70.69","71.39","70.61","10.56M","0.95%"
"2013年2月25日","70.44","70.50","71.34","70.44","11.82M","0.06%"
"2013年2月22日","70.40","70.22","70.54","69.89","9.17M","0.20%"
"2013年2月21日","70.26","70.00","71.47","69.72","20.43M","1.52%"
"2013年2月20日","69.21","68.72","69.85","68.30","11.98M","0.65%"
"2013年2月19日","68.76","69.19","69.45","68.54","14.68M","-0.78%"
"2013年2月15日","69.30","69.54","70.00","68.13","25.69M","-2.15%"
"2013年2月14日","70.82","71.10","71.23","70.75","6.82M","-0.80%"
"2013年2月13日","71.39","71.29","71.70","71.21","3.97M","-0.01%"
"2013年2月12日","71.40","71.49","71.66","71.10","4.76M","0.00%"
"2013年2月11日","71.40","71.25","71.51","70.53","6.20M","-0.11%"
"2013年2月8日","71.48","71.20","71.64","71.07","5.91M","0.35%"
"2013年2月7日","71.23","71.44","71.64","70.90","8.31M","-0.11%"
"2013年2月6日","71.31","70.48","71.32","70.30","9.76M","0.76%"
"2013年2月5日","70.77","69.87","71.08","69.76","10.53M","1.64%"
"2013年2月4日","69.63","69.44","69.90","69.13","10.76M","-1.22%"
"2013年2月1日","70.49","70.11","70.54","69.95","6.45M","0.77%"
"2013年1月31日","69.95","69.69","70.44","69.69","7.02M","0.29%"
"2013年1月30日","69.75","70.12","70.12","69.50","7.02M","-0.20%"
"2013年1月29日","69.89","69.21","70.20","69.20","9.56M","0.78%"
"2013年1月28日","69.35","69.08","69.50","68.80","7.05M","0.51%"
"2013年1月25日","69.00","69.91","70.00","68.93","7.97M","-1.13%"
"2013年1月24日","69.79","69.65","69.99","69.35","9.14M","0.43%"
"2013年1月23日","69.49","69.39","69.64","69.15","6.37M","-0.13%"
"2013年1月22日","69.58","69.05","69.65","68.96","5.75M","0.55%"
"2013年1月18日","69.20","68.85","69.20","68.85","7.81M","0.51%"
"2013年1月17日","68.85","69.30","69.32","68.71","7.23M","-0.52%"
"2013年1月16日","69.21","68.94","69.37","68.89","4.92M","0.33%"
"2013年1月15日","68.98","68.19","69.24","68.10","6.14M","1.00%"
"2013年1月14日","68.30","68.49","68.67","68.11","5.49M","-0.48%"
"2013年1月11日","68.63","68.60","68.79","68.21","6.22M","0.39%"
"2013年1月10日","68.36","68.66","69.03","67.72","11.45M","-0.31%"
"2013年1月9日","68.57","68.66","68.71","68.22","5.06M","-0.03%"
"2013年1月8日","68.59","68.28","68.89","68.21","5.87M","0.28%"
"2013年1月7日","68.40","68.83","68.92","68.12","6.20M","-0.96%"
"2013年1月4日","69.06","68.73","69.18","68.34","6.44M","0.38%"
"2013年1月3日","68.80","69.25","69.35","68.38","8.91M","-0.64%"
"2013年1月2日","69.24","68.93","69.24","68.45","10.39M","1.48%"
"2012年12月31日","68.23","67.49","68.30","67.37","7.01M","0.92%"
"2012年12月28日","67.61","67.91","68.35","67.54","5.51M","-0.85%"
"2012年12月27日","68.19","68.03","68.42","67.79","7.38M","0.29%"
"2012年12月26日","67.99","68.56","68.65","67.73","6.09M","-0.85%"
"2012年12月24日","68.57","68.51","68.81","68.31","2.91M","-0.12%"
"2012年12月21日","68.65","68.87","69.16","68.27","13.23M","-0.51%"
"2012年12月20日","69.00","68.33","69.06","68.17","9.69M","0.70%"
"2012年12月19日","68.52","69.43","69.50","68.52","9.97M","-1.41%"
"2012年12月18日","69.50","69.11","69.66","68.91","11.59M","0.43%"
"2012年12月17日","69.20","68.96","69.51","68.89","10.53M","0.65%"
"2012年12月14日","68.75","69.05","69.30","68.74","10.50M","-0.42%"
"2012年12月13日","69.04","69.04","69.36","69.00","14.25M","0.15%"
"2012年12月12日","68.94","70.20","70.35","68.91","23.40M","-2.75%"
"2012年12月11日","70.89","72.25","72.70","70.82","14.60M","-1.75%"
